Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"R.J. Alaniz","DET","AA",26,34.1,0.27659574,1.814814814,0.182795698,0.52688172,0.29032258,0.481481481,0.111111111,0.40206186,0.19587629,0.40206186,0.11552347,187,367,554,"10819"
"Mickey Jannis","NYM","AA",29,122.1,0.2892562,1.875,0.1875,0.529891304,0.282608695,0.163461538,0.096153846,0.4691689,0.230563,0.3002681,0.09630819,671,1198,1869,"11071"
"Casey Sadler","PIT","AA",26,48.1,0.30136986,2.153846153,0.168918918,0.567567567,0.263513513,0.128205128,0.128205128,0.51655629,0.21192053,0.27152318,0.1088647,199,444,643,"11209"
"Logan Darnell","TBR","AA",28,74.2,0.33739837,1.238095238,0.238866396,0.421052631,0.340080971,0.178571428,0.13095238,0.52529183,0.22957198,0.24513619,0.08868778,365,740,1105,"11261"
"Jesse Biddle","ATL","AA",25,49.2,0.32846715,1.355555555,0.231884057,0.442028985,0.326086956,0.311111111,0.066666666,0.40714286,0.23571429,0.35714286,0.10763454,291,508,799,"11437"
"Deck McGuire","CIN","AA",28,168,0.2629108,0.928571428,0.185614849,0.392111368,0.422273781,0.181318681,0.071428571,0.4715262,0.24373576,0.28473804,0.11536973,915,1668,2583,"11596"
"Mike Kickham","MIA","AA",28,97.1,0.28214286,1.841463414,0.158844765,0.545126353,0.29602888,0.134146341,0.109756097,0.48442907,0.24221453,0.2733564,0.12992398,476,971,1447,"11618"
"Myles Jaye","DET","AA",25,71.1,0.33173077,1.492307692,0.213592233,0.470873786,0.31553398,0.2,0.123076923,0.41860465,0.26046512,0.32093023,0.1149881,487,774,1261,"11769"
"Scott Snodgress","CHW","AA",27,37,0.34375,1.724137931,0.168421052,0.526315789,0.305263157,0.137931034,0.068965517,0.46391753,0.25773196,0.27835052,0.14135338,261,404,665,"12020"
"Scott McGough","BAL","AA",27,32.1,0.35164835,1.75,0.258426966,0.471910112,0.269662921,0.041666666,0.083333333,0.33333333,0.29032258,0.37634409,0.12815884,189,365,554,"12056"
"Jason Garcia","BAL","AA",24,75.1,0.35111111,1.569230769,0.257777777,0.453333333,0.288888888,0.123076923,0.092307692,0.40869565,0.24782609,0.34347826,0.12893553,517,817,1334,"12143"
"Domingo Tapia","CIN","AA",25,82.2,0.34979424,1.729729729,0.175510204,0.522448979,0.302040816,0.148648648,0.108108108,0.45418327,0.25896414,0.28685259,0.12980031,466,836,1302,"12178"
"Matt Tracy","MIN","AA",28,62.1,0.31843575,1,0.240223463,0.379888268,0.379888268,0.176470588,0.088235294,0.45989305,0.20320856,0.3368984,0.09407338,418,645,1063,"12240"
"Taylor Hill","WSN","AA",28,104,0.29213483,0.932885906,0.204419889,0.3839779,0.411602209,0.261744966,0.10738255,0.43243243,0.27837838,0.28918919,0.06386976,573,1024,1597,"12515"
"Nick Ramirez","MIL","AA",27,79,0.2300885,1.397260273,0.200913242,0.465753424,0.333333333,0.205479452,0.05479452,0.41304348,0.25217391,0.33478261,0.09741379,439,721,1160,"12575"
"DJ Johnson","COL","AA",27,64.1,0.26486486,2.409090909,0.180327868,0.579234972,0.240437158,0.204545454,0.09090909,0.41269841,0.23809524,0.34920635,0.11917098,324,641,965,"12578"
"Jake Esch","SDP","AA",27,34.2,0.30434783,1.416666666,0.236842105,0.447368421,0.315789473,0.277777777,0.055555555,0.48717949,0.2991453,0.21367521,0.08032129,185,313,498,"12756"
"Michael Kelly","SDP","AA",24,84.2,0.28971963,1.297297297,0.216589861,0.442396313,0.341013824,0.364864864,0.081081081,0.41176471,0.25339367,0.33484163,0.10974729,514,871,1385,"12791"
"Abel De Los Santos","LAA","AA",24,36.2,0.27659574,0.925,0.163043478,0.402173913,0.434782608,0.325,0.075,0.51041667,0.22916667,0.26041667,0.08510638,207,404,611,"12962"
"Colten Brewer","NYY","AA",24,41.1,0.31355932,3.94117647,0.236363636,0.609090909,0.154545454,0.117647058,0,0.45762712,0.19491525,0.34745763,0.13608563,234,420,654,"12997"
"Taylor Jungmann","MIL","AA",27,33,0.32967033,1.363636363,0.142857142,0.494505494,0.362637362,0.151515151,0.151515151,0.38541667,0.26041667,0.35416667,0.08633094,226,330,556,"13119"
"Henry Owens","BOS","AA",24,57,0.25675676,0.848484848,0.175675675,0.378378378,0.445945945,0.257575757,0.03030303,0.39333333,0.26666667,0.34,0.10183486,501,589,1090,"13143"
"Sam Selman","KCR","AA",26,39.1,0.25974026,0.771428571,0.173333333,0.36,0.466666666,0.228571428,0.028571428,0.27631579,0.30263158,0.42105263,0.15915493,287,423,710,"13397"
"Connor Sadzeck","TEX","AA",25,93.2,0.3699187,1.757142857,0.243137254,0.482352941,0.274509803,0.214285714,0.185714285,0.44401544,0.23166023,0.32432432,0.1216707,618,1034,1652,"13483"
"Brandon Brennan","CHW","AA",25,42,0.36220472,2.321428571,0.25,0.524193548,0.225806451,0.285714285,0.035714285,0.5859375,0.21875,0.1953125,0.14852941,264,416,680,"13527"
"Josh D. Smith","BOS","AA",27,66.1,0.32,1.596491228,0.163841807,0.514124293,0.322033898,0.228070175,0.087719298,0.40782123,0.25698324,0.33519553,0.1137321,483,704,1187,"13629"
"Tayler Scott","MIL","AA",25,61.2,0.32142857,1.509433962,0.203592814,0.479041916,0.317365269,0.226415094,0.056603773,0.40350877,0.2748538,0.32163743,0.13636364,407,627,1034,"13652"
"Corey Oswalt","NYM","AA",23,134.1,0.28989362,1.451612903,0.195767195,0.476190476,0.328042328,0.233870967,0.072580645,0.43669251,0.22739018,0.33591731,0.11457335,715,1371,2086,"13677"
"Joey Krehbiel","ARI","AA",24,55,0.32307692,0.961538461,0.215384615,0.384615384,0.4,0.173076923,0.057692307,0.43283582,0.26865672,0.29850746,0.13209494,373,596,969,"13707"
"Max Fried","ATL","AA",23,86.2,0.33057851,1.594936708,0.1563786,0.518518518,0.32510288,0.189873417,0.101265822,0.37751004,0.20080321,0.42168675,0.08424658,588,872,1460,"13743"
"Chris Flexen","NYM","AA",22,48.2,0.20338983,1.878787878,0.188034188,0.529914529,0.282051282,0.212121212,0.121212121,0.38842975,0.23966942,0.37190083,0.11844078,220,447,667,"13896"
"Tim Peterson","NYM","AA",26,55.1,0.23188406,0.608695652,0.177777777,0.311111111,0.511111111,0.318840579,0.014492753,0.4057971,0.25362319,0.34057971,0.10294118,220,528,748,"13946"
"Cesar Vargas","SDP","AA",25,57.1,0.31972789,1.510638297,0.197278911,0.482993197,0.319727891,0.255319148,0.042553191,0.4966443,0.24832215,0.25503356,0.14646997,358,591,949,"14099"
