"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
147956,691406,"Junior Caminero",20,2024,"TB",43,177,165,41,25,9,1,6,70,15,18,11,38,1,2,0,0,0,2,46.7
150534,694192,"Jackson Chourio",20,2024,"MIL",145,573,528,145,91,29,4,21,245,80,79,39,121,3,22,7,1,2,9,45
157722,702616,"Jackson Holliday",20,2024,"BAL",60,208,190,36,25,4,2,5,59,28,23,15,69,2,4,0,0,1,1,42.9
111669,682634,"Kevin Alcántara",21,2024,"CHC",3,10,10,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
147898,691182,"Adael Amador",21,2024,"COL",10,36,35,6,5,1,0,0,7,1,0,1,6,0,1,0,0,0,1,0
147900,691176,"Jasson Domínguez",21,2024,"NYY",18,67,56,10,7,1,0,2,17,8,4,11,19,0,5,0,0,0,0,25
148246,691594,"Javier Sanoja",21,2024,"MIA",15,36,35,8,6,2,0,0,10,3,2,1,4,0,0,0,0,0,2,0
148648,694497,"Evan Carter",21,2024,"TEX",45,162,144,27,14,6,2,5,52,23,15,15,43,2,2,0,0,1,1,39.1
151206,701538,"Jackson Merrill",21,2024,"SD",155,593,554,162,101,31,6,24,277,77,90,29,101,1,16,3,4,5,4,48.1
151225,695578,"James Wood",21,2024,"WSH",79,336,295,78,52,13,4,9,126,43,41,39,97,2,14,8,0,0,2,41.9
163722,805373,"Nacho Alvarez Jr.",21,2024,"ATL",8,32,30,3,3,0,0,0,3,1,0,0,10,2,0,0,0,0,1,0
111462,682668,"Luisangel Acuña",22,2024,"NYM",11,40,39,12,6,2,1,3,25,6,6,1,6,0,0,1,0,0,1,66.7
111885,682626,"Francisco Alvarez",22,2024,"NYM",91,342,308,73,46,14,2,11,124,39,47,30,86,2,1,1,0,2,7,56.4
116377,682729,"Jonatan Clase",22,2024,,24,66,61,15,12,2,0,1,20,7,5,3,17,2,3,1,0,0,1,28.6
117798,682829,"Elly De La Cruz",22,2024,"CIN",160,696,618,160,89,36,10,25,291,105,76,69,218,6,67,16,2,1,14,30.5
127152,682617,"Marco Luciano",22,2024,"SF",26,81,76,16,10,5,1,0,23,10,3,5,28,0,0,1,0,0,1,0
127835,682622,"Noelvi Marte",22,2024,"CIN",66,242,229,48,35,9,0,4,69,24,18,9,75,3,9,3,0,1,2,33.3
127926,682657,"Angel Martínez",22,2024,"CLE",43,169,151,35,25,7,0,3,51,16,11,15,33,0,3,1,1,2,2,31.3
128093,682619,"Orelvis Martinez",22,2024,"TOR",1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
128307,682641,"Luis Matos",22,2024,"SF",45,156,150,32,22,5,0,5,52,14,25,5,24,0,0,0,0,1,5,35.7
130914,678877,"Jhonkensy Noel",22,2024,"CLE",65,198,179,39,18,7,1,13,87,25,28,13,63,5,0,0,0,1,1,60
131840,677347,"Kyren Paris",22,2024,"LAA",21,59,51,6,3,2,0,1,11,4,5,7,17,0,1,0,0,0,1,50
133655,682868,"Bryan Ramos",22,2024,"CWS",31,108,99,20,13,4,0,3,33,13,11,7,22,0,0,2,0,1,3,30.8
139025,678662,"Ezequiel Tovar",22,2024,"COL",157,695,655,176,101,45,4,26,307,83,78,23,200,4,6,5,5,7,17,38.6
144172,687231,"Darell Hernaiz",22,2024,"OAK",44,135,120,23,19,3,0,1,29,8,12,11,27,1,1,1,1,2,4,62.5
147776,686611,"Dylan Crews",22,2024,"WSH",31,132,119,26,17,5,1,3,42,12,8,11,26,1,12,3,0,1,4,33.3
147813,690993,"Colt Keith",22,2024,"DET",148,556,516,134,102,15,4,13,196,54,61,36,110,2,7,1,0,2,6,46.3
147846,691011,"Drew Romo",22,2024,"COL",16,53,51,9,6,3,0,0,12,4,6,2,18,0,0,1,0,0,2,25
147855,691016,"Tyler Soderstrom",22,2024,"OAK",61,213,189,44,25,10,0,9,81,18,26,20,53,3,0,0,0,1,7,50
147867,691023,"Jordan Walker",22,2024,"STL",51,178,164,33,17,10,1,5,60,16,20,10,50,2,1,0,0,2,4,43.8
147872,691026,"Masyn Winn",22,2024,"STL",148,637,587,157,105,32,5,15,244,85,57,41,109,1,11,5,3,5,2,34.1
148154,691718,"Pete Crow-Armstrong",22,2024,"CHC",120,410,372,88,59,13,6,10,143,46,47,21,98,6,27,3,8,3,4,37
148616,691723,"Coby Mayo",22,2024,"BAL",17,46,41,4,4,0,0,0,4,4,0,4,22,1,0,0,0,0,2,25
148643,694377,"Nick Yorke",22,2024,"PIT",11,42,37,8,6,0,0,2,14,4,5,4,12,0,2,0,0,1,0,75
148658,695336,"Thomas Saggese",22,2024,"STL",14,52,49,10,7,2,0,1,15,5,4,2,14,1,0,0,0,0,0,60
160132,694384,"Nolan Schanuel",22,2024,"LAA",146,607,519,130,98,19,0,13,188,62,54,68,103,9,10,1,3,7,17,40.3
160384,694671,"Wyatt Langford",22,2024,"TEX",134,557,499,126,81,25,4,16,207,74,74,51,115,4,19,3,0,3,7,36.5
163439,805779,"Jacob Wilson",22,2024,"OAK",28,103,92,23,19,2,2,0,29,11,3,8,10,1,0,0,1,1,4,36.4
111303,677870,"Leo Jiménez",23,2024,"TOR",61,210,179,41,26,11,0,4,64,18,19,12,59,16,0,0,0,3,7,44.4
111352,682928,"CJ Abrams",23,2024,"WSH",138,602,541,133,78,29,6,20,234,79,65,40,128,16,31,12,1,4,5,34.2
112765,681460,"Brooks Baldwin",23,2024,"CWS",33,121,114,24,16,6,0,2,36,9,8,6,31,0,4,0,1,0,1,22.2
112947,678489,"Jorge Barrosa",23,2024,"AZ",8,18,17,3,1,2,0,0,5,3,1,0,2,0,1,0,1,0,2,0
113730,672012,"Tyler Black",23,2024,"MIL",18,57,49,10,8,2,0,0,12,4,2,7,17,1,3,0,0,0,0,50
114935,671732,"Lawrence Butler",23,2024,"OAK",120,451,412,108,60,24,2,22,202,63,57,35,108,0,18,0,0,4,8,50.8
122787,682998,"Corbin Carroll",23,2024,"AZ",157,684,589,136,78,22,14,22,252,121,74,73,130,10,35,8,3,9,4,35.5
122795,682985,"Riley Greene",23,2024,"DET",137,584,512,134,77,27,6,24,245,82,74,64,156,5,4,2,0,2,4,36.6
122896,671739,"Michael Harris II",23,2024,"ATL",110,470,440,116,83,14,3,16,184,58,48,23,94,4,10,6,0,3,6,43.1
123218,683002,"Gunnar Henderson",23,2024,"BAL",159,719,630,177,102,31,7,37,333,118,92,78,159,7,21,4,0,4,2,44.9
123722,677956,"Rece Hinds",23,2024,"CIN",22,51,46,12,2,4,1,5,33,9,11,4,16,1,2,0,0,0,0,55.6
128864,678554,"Curtis Mead",23,2024,"TB",38,132,122,29,25,3,0,1,35,10,7,6,30,2,2,0,0,1,2,40
