"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
147956,691406,"Junior Caminero",19,2023,"TB",7,36,34,4,1,7,0,5.6,22.2,0.118,0.235,0.278,0.353,0.631,91,,0,0.1
147900,691176,"Jasson Domínguez",20,2023,"NYY",8,33,31,6,4,7,1,6.1,24.2,0.419,0.258,0.303,0.677,0.98,101,,-0.2,0.1
148300,691783,"Jordan Lawlar",20,2023,"AZ",13,34,31,2,0,0,1,5.9,32.4,0,0.129,0.206,0.129,0.335,74,,0.2,0.1
148648,694497,"Evan Carter",20,2023,"TEX",22,75,62,15,5,12,3,16,32,0.339,0.306,0.413,0.645,1.058,96,,1.7,0.5
111885,682626,"Francisco Alvarez",21,2023,"NYM",121,423,382,51,25,63,2,8,26,0.228,0.209,0.284,0.437,0.721,97,,12.1,2.2
117798,682829,"Elly De La Cruz",21,2023,"CIN",98,427,388,67,13,44,35,8.2,33.7,0.175,0.235,0.3,0.41,0.71,84,,-3,0.9
127152,682617,"Marco Luciano",21,2023,"SF",13,45,39,4,0,0,1,13.3,37.8,0.077,0.231,0.333,0.308,0.641,67,,0.1,0
127835,682622,"Noelvi Marte",21,2023,"CIN",33,123,114,15,3,15,6,6.5,20.3,0.14,0.316,0.366,0.456,0.822,93,,-0.4,0.3
128307,682641,"Luis Matos",21,2023,"SF",76,253,228,24,2,14,3,7.9,13,0.092,0.25,0.319,0.342,0.661,98,,-3.5,0.4
131840,677347,"Kyren Paris",21,2023,"LAA",15,46,40,4,0,1,3,8.7,37,0,0.1,0.2,0.1,0.3,70,,0,0
139025,678662,"Ezequiel Tovar",21,2023,"COL",152,615,581,79,15,73,11,4.1,27,0.155,0.253,0.287,0.408,0.695,79,,-3.3,0.7
147855,691016,"Tyler Soderstrom",21,2023,"OAK",44,138,125,9,3,7,0,8,31.2,0.08,0.16,0.232,0.24,0.472,82,,-1.3,0.1
147867,691023,"Jordan Walker",21,2023,"STL",117,465,420,51,16,51,7,8,22.4,0.169,0.276,0.342,0.445,0.787,97,,-3.8,0.5
147872,691026,"Masyn Winn",21,2023,"STL",36,137,122,8,2,12,2,7.3,19,0.066,0.172,0.23,0.238,0.468,75,,-0.4,0.1
148154,691718,"Pete Crow-Armstrong",21,2023,"CHC",12,19,14,3,0,1,2,15.8,36.8,0,0,0.176,0,0.176,90,,-0.2,0
160132,694384,"Nolan Schanuel",21,2023,"LAA",29,132,109,19,1,6,0,15.2,14.4,0.055,0.275,0.402,0.33,0.732,113,,-0.1,0.6
109731,672478,"Jordan Diaz",22,2023,"OAK",89,293,272,20,10,27,0,5.8,23.5,0.143,0.221,0.273,0.364,0.637,82,,-1.4,0.2
111298,677595,"Ronny Mauricio",22,2023,"NYM",26,108,101,11,2,9,7,6.5,28.7,0.099,0.248,0.296,0.347,0.643,86,,0,0.3
111305,677592,"Everson Pereira",22,2023,"NYY",26,103,93,6,0,10,4,7.8,38.8,0.043,0.151,0.233,0.194,0.427,56,,0.2,-0.1
111317,677551,"Wander Franco",22,2023,"TB",112,491,442,65,17,58,30,8.6,14.1,0.195,0.281,0.344,0.475,0.819,120,,8.1,4
