Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Stone Garrett","WSN",2,5,6,3,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0.6,"Stone Garrett",19273,656448
"Darren Baker","WSN",9,14,14,7,5,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0.5,"Darren Baker",29912,671117
"Samad Taylor","SEA",3,5,5,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.4,"Samad Taylor",22274,669392
"Austin Wynns","CIN",7,19,20,7,3,4,0,0,3,2,0,0,5,1,0,0,0,0,0,0.368421052,"Austin Wynns",15271,642851
"Alex Call","WSN",30,99,113,34,22,9,0,3,15,14,12,0,19,2,0,0,2,5,1,0.343434343,"Alex Call",19296,669743
"Jose Iglesias","NYM",85,270,291,91,70,16,1,4,39,26,12,1,39,8,1,0,4,6,2,0.337037037,"Jose Iglesias",10231,578428
"Diego Castillo","MIN",4,6,8,2,1,1,0,0,3,2,2,0,1,0,0,0,0,0,0,0.333333333,"Diego Castillo",19906,660636
"Matthew Batten","SDP",1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,"Matthew Batten",20157,676946
"Hunter Feduccia","LAD",5,12,14,4,4,0,0,0,2,1,2,0,2,0,0,0,1,0,0,0.333333333,"Hunter Feduccia",23372,676439
"Dustin Harris","TEX",2,6,7,2,0,1,0,1,1,3,1,0,2,0,0,0,0,0,0,0.333333333,"Dustin Harris",25705,687957
"Orelvis Martinez","TOR",1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333,"Orelvis Martinez",25967,682619
"Bobby Witt Jr.","KCR",161,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,4,31,12,0.331761006,"Bobby Witt Jr.",25764,677951
"Xavier Edwards","MIA",70,265,303,87,69,12,5,1,39,26,33,1,52,0,4,1,0,31,4,0.328301886,"Xavier Edwards",22266,669364
"Vladimir Guerrero Jr.","TOR",159,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,16,2,2,0.323051948,"Vladimir Guerrero Jr.",19611,665489
"Aaron Judge","NYY",158,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,22,10,0,0.322003577,"Aaron Judge",15640,592450
"César Salazar","HOU",12,25,32,8,6,2,0,0,5,8,2,0,6,2,2,1,0,0,0,0.32,"Cesar Salazar",21587,663967
"Christian Yelich","MIL",73,270,315,85,59,12,3,11,44,42,40,3,58,2,1,1,3,21,1,0.314814814,"Christian Yelich",11477,592885
"Luis Arraez","- - -",150,637,672,200,161,32,3,4,83,46,24,3,29,8,1,2,18,9,3,0.313971742,"Luis Arraez",18568,650333
"Blake Sabol","SFG",11,32,38,10,8,2,0,0,3,1,5,1,9,1,0,0,0,0,0,0.3125,"Blake Sabol",25805,666165
"Adrian Del Castillo","ARI",25,80,87,25,16,5,0,4,12,19,7,0,28,0,0,0,1,1,1,0.3125,"Adrian Del Castillo",29554,680728
"Carlos Correa","MIN",86,319,367,99,63,20,2,14,55,54,40,4,61,3,4,0,5,0,0,0.310344827,"Carlos Correa",14162,621043
"Shohei Ohtani","LAD",159,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,7,59,4,0.309748427,"Shohei Ohtani",19755,660271
"Yordan Alvarez","HOU",147,552,635,170,99,34,2,35,88,86,69,16,95,10,4,0,14,6,0,0.307971014,"Yordan Alvarez",19556,670541
"Luisangel Acuña","NYM",14,39,40,12,6,2,1,3,6,6,1,0,6,0,0,0,1,0,1,0.307692307,"Luisangel Acuna",26548,682668
"Victor Robles","- - -",91,254,295,78,54,20,0,4,44,28,21,0,53,11,3,6,2,34,2,0.307086614,"Victor Robles",18363,645302
"Will Wagner","TOR",24,82,86,25,17,6,0,2,8,11,4,0,16,0,0,0,3,0,0,0.304878048,"Will Wagner",29634,695238
"David Bote","CHC",37,46,48,14,10,4,0,0,4,6,2,0,13,0,0,0,1,0,0,0.304347826,"David Bote",14593,623520
