Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Mike Freeman","CHC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Mike Freeman",11241,502273
"Joe Hudson","LAA",0.166666666,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0.25,0.41666667,0.33333333,0,0.33333333,0.66666667,"Joe Hudson",14412,621529
"Ryder Jones","SFG",1,0,0.666666666,0,0.333333333,0,2,0,0,0,0,0.33333333,0.66666667,0,0,0.33333333,0.66666667,"Ryder Jones",15982,624507
"Jon Berti","TOR",0.363636363,2.5,0.363636363,0.454545454,0.181818181,0,0,0,0,0,0,0.18181818,0.54545455,0.27272727,0.09090909,0.27272727,0.63636364,"Jon Berti",12037,542932
"Tony Cruz","CIN",0.214285714,1,0.2,0.4,0.4,0.166666666,0.166666666,0,0,0,0,0.33333333,0.46666667,0.2,0.13333333,0.26666667,0.6,"Tony Cruz",2802,488810
"Adam Moore","TBR",0.3,1,0.2,0.4,0.4,0,0.25,1,0.25,1,0.5,0.33333333,0.5,0.16666667,0.16666667,0.25,0.58333333,"Adam Moore",9362,446192
"Kevin Kramer","PIT",0.277777777,0.181818181,0.277777777,0.111111111,0.611111111,0,0,0,0,0,0,0.33333333,0.33333333,0.33333333,0,0.44444444,0.55555556,"Kevin Kramer",17689,596012
"Daniel Vogelbach","SEA",0.245614035,1.285714285,0.213114754,0.44262295,0.344262295,0.095238095,0.19047619,1,0.037037037,0,0,0.54098361,0.32786885,0.13114754,0.1147541,0.36065574,0.52459016,"Daniel Vogelbach",14130,596129
"Christian Arroyo","TBR",0.361111111,4.333333333,0.135135135,0.702702702,0.162162162,0,0.166666666,2,0.076923076,0,0,0.48648649,0.32432432,0.18918919,0.13513514,0.35135135,0.51351351,"Christian Arroyo",16434,624414
"Alex Avila","ARI",0.252525252,1.677419354,0.216981132,0.490566037,0.29245283,0,0.225806451,0,0,0,0,0.5,0.27358491,0.22641509,0.12264151,0.36792453,0.50943396,"Alex Avila",7476,488671
"Trevor Plouffe","PHI",0.4,0.25,0.166666666,0.166666666,0.666666666,0,0.25,1,1,0,0,0.16666667,0.33333333,0.5,0.16666667,0.33333333,0.5,"Trevor Plouffe",7462,461858
"Travis d'Arnaud","NYM",0.222222222,0.2,0.4,0.1,0.5,0.2,0.2,0,0,0,0,0.3,0.5,0.2,0.2,0.3,0.5,"Travis d'Arnaud",7739,518595
"Dustin Garneau","CHW",0.5,0,0.5,0,0.5,1,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,"Dustin Garneau",9433,572863
"Ryan Schimpf","LAA",0,1,0,0.5,0.5,0,1,0,0,0,0,0,0.5,0.5,0.5,0,0.5,"Ryan Schimpf",9953,572114
"Sócrates Brito","ARI",0.193548387,1,0.29032258,0.354838709,0.354838709,0,0.09090909,2,0.181818181,0,0,0.3125,0.375,0.3125,0.09375,0.40625,0.5,"Socrates Brito",12944,593647
"Michael Reed","ATL",0.5,1,0.75,0.25,0,0,0,0,0,0,0,0.25,0.5,0.25,0,0.5,0.5,"Michael Reed",13228,605439
