"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
122795,682985,"Riley Greene",21,2022,"DET",93,418,376,46,5,42,1,8.6,28.7,0.109,0.253,0.321,0.362,0.683,89,,0.9,1.4
122896,671739,"Michael Harris II",21,2022,"ATL",114,441,414,75,19,64,20,4.8,24.3,0.217,0.297,0.339,0.514,0.853,110,,-0.1,2.5
134822,677594,"Julio Rodríguez",21,2022,"SEA",132,560,511,84,28,75,25,7.1,25.9,0.225,0.284,0.345,0.509,0.854,119,,-2.7,3.2
109139,671277,"Luis García Jr.",22,2022,"WSH",93,377,360,29,7,45,3,2.9,22.3,0.133,0.275,0.295,0.408,0.703,93,,-2.2,0.9
110536,672695,"Geraldo Perdomo",22,2022,"AZ",143,500,431,58,5,40,9,10,20.6,0.067,0.195,0.285,0.262,0.547,75,,-0.4,0.5
138635,677950,"Alek Thomas",22,2022,"AZ",108,411,381,45,8,39,4,5.4,18,0.113,0.231,0.275,0.344,0.619,76,,1.2,0.7
138910,679529,"Spencer Torkelson",22,2022,"DET",110,404,360,38,8,28,0,9.2,24.5,0.117,0.203,0.285,0.319,0.604,87,,0,0.4
141166,677951,"Bobby Witt Jr.",22,2022,"KC",150,631,590,82,20,80,30,4.8,21.2,0.175,0.254,0.295,0.429,0.724,109,,-8.3,2.2
106820,660688,"Keibert Ruiz",23,2022,"WSH",111,433,394,33,7,36,6,6.9,11.5,0.109,0.251,0.313,0.36,0.673,99,,-0.4,1.9
107182,665742,"Juan Soto",23,2022,,153,664,524,93,27,62,6,20.3,14.5,0.21,0.242,0.401,0.452,0.853,154,,-5,6.1
107184,665489,"Vladimir Guerrero Jr.",23,2022,"TOR",160,706,638,90,32,97,8,8.2,16.4,0.205,0.274,0.339,0.48,0.819,123,,0.5,3.8
107582,666185,"Dylan Carlson",23,2022,"STL",125,488,432,56,8,42,5,9.2,19.3,0.144,0.236,0.316,0.38,0.696,97,,-0.1,1.5
107858,665926,"Andrés Giménez",23,2022,"CLE",144,557,491,66,17,69,20,6.1,20.1,0.169,0.297,0.371,0.466,0.837,122,,4,4.4
108350,670623,"Isaac Paredes",23,2022,"TB",107,381,331,48,20,45,0,11.5,17.6,0.23,0.205,0.304,0.435,0.739,101,,-0.3,1.3
109083,669261,"Jack Suwinski",23,2022,"PIT",103,372,326,45,19,38,4,11,30.6,0.209,0.202,0.298,0.411,0.709,87,,0.5,0.7
110333,669004,"MJ Melendez",23,2022,"KC",129,534,460,57,18,62,2,12.4,24.5,0.176,0.217,0.313,0.393,0.706,115,,-18.1,1.2
110401,666624,"Christopher Morel",23,2022,"CHC",112,425,379,55,16,47,10,8.9,32.2,0.198,0.235,0.308,0.433,0.741,102,,-2.6,1.7
111216,672386,"Alejandro Kirk",23,2022,"TOR",139,541,470,59,14,63,0,11.6,10.7,0.13,0.285,0.372,0.415,0.787,132,,11.4,5.2
105454,660670,"Ronald Acuña Jr.",24,2022,"ATL",119,533,467,71,15,50,29,9.9,23.6,0.148,0.266,0.351,0.413,0.764,130,,2.6,4.1
105764,661388,"William Contreras",24,2022,"ATL",97,376,334,51,20,45,2,10.4,27.7,0.228,0.278,0.354,0.506,0.86,126,,-4,2.2
106066,660757,"Oscar Gonzalez",24,2022,"CLE",91,382,362,39,11,43,1,3.9,19.6,0.166,0.296,0.327,0.461,0.788,102,,0.4,1.3
107491,666182,"Bo Bichette",24,2022,"TOR",159,697,652,91,24,93,13,5.9,22.2,0.179,0.29,0.333,0.469,0.802,110,,-3.6,3.1
108127,666158,"Gavin Lux",24,2022,"LAD",128,471,421,66,6,42,7,10,20.2,0.124,0.276,0.346,0.399,0.745,107,,3.3,2.7
108236,669304,"Jose Miranda",24,2022,"MIN",123,483,444,45,15,66,1,5.8,18.8,0.158,0.268,0.325,0.426,0.751,104,,-1.9,1.2
109122,669016,"Brandon Marsh",24,2022,,134,461,424,49,11,52,10,6.1,34.3,0.139,0.245,0.295,0.384,0.679,69,,4.3,0.7
110664,673357,"Luis Robert Jr.",24,2022,"CWS",95,401,380,54,12,56,11,4.2,19.2,0.142,0.284,0.319,0.426,0.745,113,,-3.8,1.9
126005,680757,"Steven Kwan",24,2022,"CLE",147,638,563,89,6,52,19,9.7,9.4,0.101,0.298,0.373,0.4,0.773,111,,10.7,4.3
132232,665161,"Jeremy Peña",24,2022,"HOU",136,558,521,72,22,63,11,3.9,24.2,0.173,0.253,0.289,0.426,0.715,80,,1.9,1.1
135527,668939,"Adley Rutschman",24,2022,"BAL",113,470,398,70,13,42,4,13.8,18.3,0.191,0.254,0.362,0.445,0.807,123,,8.6,4.4
137906,681082,"Bryson Stott",24,2022,"PHI",125,466,427,58,10,49,12,7.7,19.1,0.124,0.234,0.295,0.358,0.653,81,,-4.1,0.3
142821,683734,"Andrew Vaughn",24,2022,"CWS",134,555,510,60,17,76,0,5.6,17.3,0.159,0.271,0.321,0.429,0.75,109,,-6.2,1.6
104023,645302,"Victor Robles",25,2022,"WSH",123,407,366,42,6,33,15,4.2,25.6,0.087,0.224,0.273,0.311,0.584,70,,-2.9,-0.2
104042,646240,"Rafael Devers",25,2022,"BOS",141,614,555,84,27,88,3,8.1,18.6,0.225,0.295,0.358,0.521,0.879,132,,-2,3.8
104096,649966,"Luis Urías",25,2022,"MIL",119,472,406,54,16,47,1,10.6,21,0.165,0.239,0.335,0.404,0.739,105,,0.9,2.1
104123,650333,"Luis Arraez",25,2022,"MIN",144,603,547,88,8,49,4,8.3,7.1,0.104,0.316,0.375,0.42,0.795,117,,0.4,2.8
104180,650402,"Gleyber Torres",25,2022,"NYY",140,572,526,73,24,76,10,6.8,22.6,0.194,0.257,0.31,0.451,0.761,107,,2.5,2.9
104205,650489,"Willi Castro",25,2022,"DET",112,392,365,47,8,31,9,3.8,20.9,0.126,0.241,0.284,0.367,0.651,76,,2,0.6
104450,650859,"Luis Rengifo",25,2022,"LAA",127,511,489,45,17,52,6,3.3,15.5,0.166,0.264,0.294,0.429,0.723,104,,0.1,2.3
105735,663757,"Trent Grisham",25,2022,"SD",145,524,451,58,17,53,7,10.9,28.6,0.157,0.184,0.284,0.341,0.625,79,,1.8,1
106121,663647,"Ke'Bryan Hayes",25,2022,"PIT",134,560,505,55,7,41,20,8.6,21.8,0.101,0.244,0.314,0.345,0.659,91,,8.9,2.1
106527,663624,"Ryan Mountcastle",25,2022,"BAL",145,609,555,62,22,85,4,7.1,25.3,0.173,0.25,0.305,0.423,0.728,119,,-0.9,2.6
106548,647304,"Josh Naylor",25,2022,"CLE",122,498,449,47,20,79,6,7.6,16.1,0.196,0.256,0.319,0.452,0.771,109,,0.3,1.8
106744,663586,"Austin Riley",25,2022,"ATL",159,693,615,90,38,93,2,8.2,24.2,0.255,0.273,0.349,0.528,0.877,141,,2.9,6
