"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2020","1","50","0.5","-0.9","0.8","0.4","32.7","16","8"
"Adell, Jo","666176","2020","-2","40","0.8","0.7","-1.2","0.1","33.2","20","8"
"Akiyama, Shogo","673451","2020","1","66.7","0.4","-0.3","0.8","0.7","33.4","21","14"
"Arozarena, Randy","668227","2020","-1","33.3","0.9","0.2","-0.8","0.1","32.6","12","4"
"Bader, Harrison","664056","2020","3","66.7","2.6","0.6","0.3","3.3","37.4","18","12"
"Bellinger, Cody","641355","2020","5","59.4","1.1","0","-0.1","0.8","34.4","32","19"
"Betts, Mookie","605141","2020","4","70","1.3","1.2","-0.8","1.7","33.9","30","21"
"Blackmon, Charlie","453568","2020","-2","45.5","-0.9","-1","-0.2","-1.8","29.3","22","10"
"Bradley Jr., Jackie","598265","2020","5","69.7","-0.1","2.3","-1.6","0.5","34","33","23"
"Brinson, Lewis","621446","2020","0","52.6","1.4","-0.1","-0.6","0.7","32.2","19","10"
"Buxton, Byron","621439","2020","3","70","0.7","-1.2","0.6","0","34.5","20","14"
"Calhoun, Kole","594777","2020","1","53.3","0.2","1","0.5","2.4","35.5","15","8"
"Canha, Mark","592192","2020","1","35.3","0.6","0.2","0.3","1.7","34","17","6"
"Carlson, Dylan","666185","2020","-1","33.3","0.2","-1","0.3","-0.7","31.6","12","4"
"Castellanos, Nick","592206","2020","0","47.8","-2.5","-0.4","0.2","-2.5","28.4","23","11"
"Cave, Jake","595909","2020","2","66.7","0.7","-0.1","0.4","0.6","34","15","10"
"Conforto, Michael","624424","2020","-3","36.7","-0.9","0.5","-0.4","-0.7","30.2","30","11"
"Dahl, David","621311","2020","-1","23.1","-2.7","-1.7","1.1","-4.9","26.7","13","3"
"DeShields, Delino","592261","2020","1","57.1","0.2","-0.9","0.7","0.1","32.4","21","12"
"Dickerson, Alex","543105","2020","-1","40","-1.3","0.9","-1","-1.5","30.6","20","8"
"Dickerson, Corey","572816","2020","1","47.6","1.9","1.2","0.5","4.7","37.2","21","10"
"Dubón, Mauricio","643289","2020","2","65","1.6","0.9","0","3","35.9","20","13"
"Duvall, Adam","594807","2020","0","31.8","-1.1","1.1","-0.7","-0.4","30.8","22","7"
"Dyson, Jarrod","502481","2020","1","40","0.5","-0.2","1","-0.5","30.4","15","6"
"Eaton, Adam","594809","2020","0","38.5","1.1","1.5","-1.2","1.3","34.3","26","10"
"Engel, Adam","641553","2020","3","75","2.3","-0.6","0","2.6","35.6","12","9"
"Ervin, Phillip","640447","2020","2","69.2","2.3","1.7","-0.3","3.8","35.2","13","9"
"Fowler, Dexter","451594","2020","-1","38.5","-0.8","-1.3","0.7","-1.4","28.8","13","5"
