"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
111885,682626,"Francisco Alvarez",21,2023,"NYM",121,423,382,80,43,12,0,25,167,51,63,34,110,6,2,0,0,1,14,60.8
117798,682829,"Elly De La Cruz",21,2023,"CIN",98,427,388,91,56,15,7,13,159,67,44,35,144,2,35,8,1,1,7,41.8
139025,678662,"Ezequiel Tovar",21,2023,"COL",152,615,581,147,91,37,4,15,237,79,73,25,166,4,11,5,2,3,14,26.6
147867,691023,"Jordan Walker",21,2023,"STL",117,465,420,116,79,19,2,16,187,51,51,37,104,6,7,4,0,2,10,41.2
111317,677551,"Wander Franco",22,2023,"TB",112,491,442,124,78,23,6,17,210,65,58,42,69,3,30,10,0,4,18,38.5
111352,682928,"CJ Abrams",22,2023,"WSH",151,614,563,138,86,28,6,18,232,83,64,32,118,13,47,4,3,3,9,32.5
122787,682998,"Corbin Carroll",22,2023,"AZ",153,645,565,161,96,30,10,25,286,116,76,57,125,13,54,5,6,4,8,31
122795,682985,"Riley Greene",22,2023,"DET",99,416,378,109,75,19,4,11,169,51,37,35,114,1,7,0,0,2,11,39.2
122896,671739,"Michael Harris II",22,2023,"ATL",138,539,505,148,94,33,3,18,241,76,57,25,101,5,20,4,1,3,10,46.1
123218,683002,"Gunnar Henderson",22,2023,"BAL",150,622,560,143,77,29,9,28,274,100,82,56,159,3,10,3,0,3,11,37
134822,677594,"Julio Rodríguez",22,2023,"SEA",155,714,654,180,109,37,2,32,317,102,103,47,175,11,37,10,0,2,14,39.2
140156,683011,"Anthony Volpe",22,2023,"NYY",157,601,541,113,65,23,4,21,207,62,60,52,167,5,24,5,1,2,10,41.9
109139,671277,"Luis García Jr.",23,2023,"WSH",122,482,447,119,88,18,4,9,172,61,50,27,60,0,9,4,1,7,11,21.3
109864,672580,"Maikel Garcia",23,2023,"KC",123,515,464,126,98,20,4,4,166,59,50,38,115,2,23,7,1,10,10,22
110402,672515,"Gabriel Moreno",23,2023,"AZ",107,380,341,97,70,19,1,7,139,33,50,29,75,3,6,2,0,7,17,30.3
110536,672695,"Geraldo Perdomo",23,2023,"AZ",138,495,407,100,70,20,4,6,146,71,47,64,86,6,16,4,14,4,4,21.1
115660,671213,"Triston Casas",23,2023,"BOS",131,502,429,113,66,21,2,24,210,66,65,70,126,1,0,0,0,2,10,51.5
121931,669357,"Nolan Gorman",23,2023,"STL",118,464,406,96,52,17,0,27,194,59,76,53,148,3,7,2,0,2,8,55.9
125372,672284,"Jarred Kelenic",23,2023,"SEA",105,416,372,94,56,25,2,11,156,44,49,41,132,1,13,5,0,2,8,47.7
128758,680574,"Matt McLain",23,2023,"CIN",89,403,365,106,63,23,4,16,185,65,50,31,115,7,14,5,0,0,5,44.6
138635,677950,"Alek Thomas",23,2023,"AZ",116,402,374,86,55,17,5,9,140,51,39,19,86,4,9,1,2,3,6,23.5
138910,679529,"Spencer Torkelson",23,2023,"DET",159,684,606,141,75,34,1,31,270,88,94,67,171,6,3,0,0,5,15,47.7
139196,668930,"Brice Turang",23,2023,"MIL",130,448,404,88,70,9,3,6,121,46,34,38,94,1,26,4,3,2,11,23.9
141166,677951,"Bobby Witt Jr.",23,2023,"KC",158,694,641,177,108,28,11,30,317,97,96,40,121,4,49,15,1,8,13,42.3
141688,683146,"Brett Baty",23,2023,"NYM",107,389,353,75,54,12,0,9,114,41,34,29,109,2,2,0,1,1,10,34.1
106820,660688,"Keibert Ruiz",24,2023,"WSH",136,562,523,136,94,24,0,18,214,55,67,31,58,6,1,1,0,2,13,47.3
107182,665742,"Juan Soto",24,2023,"SD",162,708,568,156,88,32,1,35,295,97,109,132,129,2,12,5,1,5,20,57.7
107184,665489,"Vladimir Guerrero Jr.",24,2023,"TOR",156,682,602,159,103,30,0,26,267,78,94,67,100,9,5,3,0,4,24,46.2
107293,665750,"Leody Taveras",24,2023,"TEX",143,554,511,136,88,31,3,14,215,67,67,35,117,1,14,4,3,4,3,35.8
107858,665926,"Andrés Giménez",24,2023,"CLE",153,616,557,140,93,27,5,15,222,76,62,32,112,20,30,6,4,3,12,28.9
108350,670623,"Isaac Paredes",24,2023,"TB",141,571,492,123,68,24,0,31,240,71,98,58,104,20,1,0,0,1,12,56.3
108525,665923,"Esteury Ruiz",24,2023,"OAK",129,497,449,114,84,24,1,5,155,47,47,20,99,16,67,13,4,1,8,25.5
108651,665487,"Fernando Tatis Jr.",24,2023,"SD",141,635,575,148,89,33,1,25,258,91,78,53,141,3,29,4,1,3,18,47.3
109083,669261,"Jack Suwinski",24,2023,"PIT",141,534,447,100,51,21,2,26,203,63,74,75,172,6,13,2,0,6,3,47.6
109738,673237,"Yainer Diaz",24,2023,"HOU",104,377,355,100,55,22,0,23,191,51,60,11,74,5,0,0,0,6,13,58.8
110333,669004,"MJ Melendez",24,2023,"KC",148,602,533,125,75,29,5,16,212,65,56,62,170,3,6,4,0,4,5,35.4
110401,666624,"Christopher Morel",24,2023,"CHC",107,429,388,96,50,17,3,26,197,62,70,36,133,2,6,2,1,2,8,48.4
111187,677649,"Ezequiel Duran",24,2023,"TEX",122,439,406,112,74,22,2,14,180,55,46,23,120,7,8,4,1,2,7,34.5
111216,672386,"Alejandro Kirk",24,2023,"TOR",121,422,372,93,69,16,0,8,133,34,43,42,45,6,0,0,0,2,23,32.4
125175,666397,"Edouard Julien",24,2023,"MIN",107,408,338,89,56,16,1,16,155,60,37,64,128,2,3,0,1,3,8,53.3
148608,686894,"Joey Wiemer",24,2023,"MIL",124,410,367,75,43,19,0,13,133,48,42,36,116,5,11,4,0,2,4,33.3
105454,660670,"Ronald Acuña Jr.",25,2023,"ATL",159,735,643,217,137,35,4,41,383,149,106,80,84,9,73,14,0,3,18,51.7
105764,661388,"William Contreras",25,2023,"MIL",141,611,540,156,100,38,1,17,247,86,78,63,126,5,6,1,1,2,24,37.2
106844,660821,"Jesús Sánchez",25,2023,"MIA",117,403,361,91,51,23,3,14,162,43,52,38,108,2,3,1,1,1,13,39.5
107491,666182,"Bo Bichette",25,2023,"TOR",135,601,571,175,122,30,3,20,271,69,73,27,115,2,5,3,0,1,14,40.6
107632,665862,"Jazz Chisholm Jr.",25,2023,"MIA",96,383,352,88,55,12,2,19,161,50,51,26,118,2,22,3,1,2,5,56
108118,666139,"Josh Lowe",25,2023,"TB",131,501,466,136,81,33,2,20,233,71,83,31,124,1,32,3,0,3,9,38
108947,666134,"Nolan Jones",25,2023,"COL",105,424,367,109,63,22,4,20,199,60,62,53,126,3,20,4,0,1,1,43.3
109122,669016,"Brandon Marsh",25,2023,"PHI",131,472,404,112,69,25,6,12,185,58,60,59,144,4,10,2,1,4,5,36.2
110664,673357,"Luis Robert Jr.",25,2023,"CWS",145,595,546,144,69,36,1,38,296,90,80,30,172,12,20,4,0,2,12,51.1
115478,681481,"Kerry Carpenter",25,2023,"DET",118,459,418,116,77,17,2,20,197,57,64,32,115,8,6,0,0,1,6,45.6
126005,680757,"Steven Kwan",25,2023,"CLE",157,718,638,171,123,36,7,5,236,93,54,70,75,3,21,3,1,6,12,16.1
126172,669127,"Shea Langeliers",25,2023,"OAK",132,490,448,92,47,19,4,22,185,52,63,34,143,5,3,2,1,2,12,53.8
130939,663457,"Lars Nootbaar",25,2023,"STL",116,503,426,111,73,23,1,14,178,74,46,72,99,1,11,1,1,3,12,39.2
132232,665161,"Jeremy Peña",25,2023,"HOU",149,634,577,152,107,32,3,10,220,81,52,43,129,9,13,9,1,1,12,33.3
135527,668939,"Adley Rutschman",25,2023,"BAL",154,687,588,163,111,31,1,20,256,84,80,92,101,2,1,2,0,5,17,45.2
137710,668715,"Spencer Steer",25,2023,"CIN",156,665,582,158,95,37,3,23,270,74,86,68,139,11,15,3,0,4,14,44.6
137906,681082,"Bryson Stott",25,2023,"PHI",151,640,585,164,115,32,2,15,245,78,62,39,100,7,31,3,1,8,12,34.6
142220,673962,"Josh Jung",25,2023,"TEX",122,515,478,127,78,25,1,23,223,75,70,30,151,5,1,3,0,2,9,46.7
142821,683734,"Andrew Vaughn",25,2023,"CWS",152,615,566,146,93,30,2,21,243,67,80,36,129,11,0,0,0,2,15,46.3
143845,686668,"Brenton Doyle",25,2023,"COL",122,431,399,81,50,16,5,10,137,48,48,22,151,4,22,5,3,3,9,27.1
143892,686681,"Michael Massey",25,2023,"KC",128,461,428,98,64,18,1,15,163,42,55,24,99,4,6,2,1,4,3,40.5
144013,686823,"Will Brennan",25,2023,"CLE",134,455,432,115,86,24,0,5,154,41,41,16,57,5,13,5,0,2,5,24.4
104004,645277,"Ozzie Albies",26,2023,"ATL",148,660,596,167,99,30,5,33,306,96,109,46,107,8,13,1,0,8,12,52.1
104042,646240,"Rafael Devers",26,2023,"BOS",153,656,580,157,90,34,0,33,290,90,100,62,126,11,5,1,0,3,16,50
104123,650333,"Luis Arraez",26,2023,"MIA",147,617,574,203,160,30,3,10,269,71,69,35,34,4,3,2,1,3,18,40.8
104176,650391,"Eloy Jiménez",26,2023,"CWS",120,489,456,124,83,23,0,18,201,50,64,30,93,1,0,0,0,2,13,54
104180,650402,"Gleyber Torres",26,2023,"NYY",158,672,596,163,108,28,2,25,270,90,68,67,98,3,13,6,0,6,20,48.9
104205,650489,"Willi Castro",26,2023,"MIN",119,409,358,92,60,18,5,9,147,60,34,34,99,12,33,5,2,3,6,30
104261,650559,"Bryan De La Cruz",26,2023,"MIA",152,626,579,149,98,32,0,19,238,60,78,40,142,1,4,1,0,5,19,46.7
104450,650859,"Luis Rengifo",26,2023,"LAA",123,445,394,104,69,15,4,16,175,55,51,41,82,6,6,4,0,4,5,40
105735,663757,"Trent Grisham",26,2023,"SD",151,555,469,93,48,31,1,13,165,67,50,75,154,5,15,3,4,1,9,37.3
106121,663647,"Ke'Bryan Hayes",26,2023,"PIT",122,525,494,134,81,31,7,15,224,65,61,28,104,0,10,6,0,3,12,36.9
106527,663624,"Ryan Mountcastle",26,2023,"BAL",115,470,423,114,74,21,1,18,191,64,68,37,107,3,3,1,0,7,14,42.2
106548,647304,"Josh Naylor",26,2023,"CLE",121,495,452,139,91,31,0,17,221,52,97,33,68,3,10,3,0,7,13,42.3
106744,663586,"Austin Riley",26,2023,"ATL",159,715,636,179,107,32,3,37,328,117,97,59,172,9,3,1,0,11,20,55.6
106960,663886,"Tyler Stephenson",26,2023,"CIN",136,517,465,113,78,20,2,13,176,59,56,47,135,4,0,1,0,1,18,40.7
107047,663656,"Kyle Tucker",26,2023,"HOU",157,674,574,163,92,37,5,29,297,97,112,80,92,3,30,5,0,10,14,45.4
109147,670541,"Yordan Alvarez",26,2023,"HOU",114,496,410,120,64,24,1,31,239,77,97,69,92,13,0,0,0,4,8,53.2
110995,662139,"Daulton Varsho",26,2023,"TOR",154,581,527,116,70,23,3,20,205,65,61,45,135,4,16,7,1,3,7,41.5
113905,664761,"Alec Bohm",26,2023,"PHI",145,611,558,153,102,31,0,20,244,74,97,42,94,5,4,1,0,6,23,40.5
123806,663538,"Nico Hoerner",26,2023,"CHC",150,688,619,175,135,27,4,9,237,98,68,49,83,14,43,7,1,5,13,21.4
124341,663697,"Jonathan India",26,2023,"CIN",119,529,454,111,71,23,0,17,185,78,61,52,109,16,14,2,0,7,13,30.8
131575,681546,"James Outman",26,2023,"LAD",150,567,483,120,78,16,3,23,211,86,70,68,181,12,16,3,0,4,5,37.2
133509,663728,"Cal Raleigh",26,2023,"SEA",145,569,513,119,65,23,1,30,234,78,75,54,158,1,0,0,0,1,6,53.8
