Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Roki Sasaki","SP","Int'l Amateur",2025,"23.2","Japan","Chiba Lotte Marines","LAD",6500000,"6' 3""","203","R","R","65","High","Sasaki cemented a legacy while he was still in high school. There was a stretch when he was asked to throw nearly 500 pitches in an eight-day span, including a 12-inning complete game during which he also hit the game-winning two-run homer. He became the LeBron James of Japanese baseball in the process and was the first pick in the 2019 NPB draft, wielding much more arm strength than the typical top-of-the-class arm there, touching 101 mph and sitting around 97. 
In 2021, Sasaki amassed a 1.98 ERA in 77 total innings across 15 starts split between the Eastern League (NPB's minor league) and the Pacific League (their top league). The 2022 season was his first full slate in Japan's big league and Sasaki was great, making 20 starts, pitching 129 innings, posting a 2.02 ERA and making international headlines by throwing 17 consecutive perfect innings in April. At one point, Sasaki retired 52 consecutive batters (the MLB record is Yusmeiro Petit's 47) during that stretch. Sasaki was having an even better 2023 — 85 IP, 39% K%, 5% BB%, 62% GB%, 1.88 ERA, 0.92 FIP — before he was shut down with an oblique tear in July, which cost him most of the rest of the season. He made three appearances at the very end of 2023 and his stuff was crisp as usual. 
In 2024, however, it backed up pretty substantially, as did Sasaki's overall performance. He hasn't been healthy for an entire season yet and most of his relevant stats (his ability to generate whiffs with his fastball, avoid walks, and get groundballs) took a nosedive in 2024. Sasaki's plus-plus, upper-80s splitter (which often has slider shape to his glove side and can easily be mistaken for it) is still easily his best pitch, and might be the nastiest splitter on the planet. He's young and seems likely to return to peak form at some point, though given his injury history and general volatility, who's to say how long he'll be able to sustain it. There was buzz late in 2023 and early in 2024 that he was poised to be posted after the 2024 season, which turned out to be true. Sasaki posted this offseason and will sign as a part of the 2025 international class. As of our most recent update, his suitors had been narrowed to the Blue Jays, Padres, and Dodgers with around a week left in his posting window.","JfD1mVCaNi0","35323"
"Josuar De Jesus","CF/SS","Int'l Amateur",2025,"17.2472222","Dominican Republic",,"SFG",2997500,"5' 10""","170","S","R","45+","High","De Jesus is a potential five-tool player. A switch-hitting shortstop, he's an explosive rotator with electric bat speed. De Jesus unwinds with rare verve, and the bend in his lower body allows for low-ball power. His right-handed swing is less coordinated, but still dangerous. De Jesus's medium frame limits his raw power projection somewhat, but there's enough bat speed to project above-average pop. His front side can drift toward first base, suggesting potential breaking ball vulnerability. Otherwise, he looks like a good hitter with playable power in a lot of the zone. The twitch, range, actions, and arm for shortstop all are present, and he's universally acclaimed as a lock to stick at short by scouts. Very strong heuristic profile as a switch-hitting shortstop with power. There's All-Star ceiling if the hit tool is average or better.",,
"Elian Peña","3B","Int'l Amateur",2025,"17.2388888","Dominican Republic",,"NYM",5000000,"5' 11""","190","L","R","45+","High","Peña is likely to receive the top bonus in the 2025 international class at $5 million, a deal that has been in place since well before David Stearns began to helm the org. Peña has real feel to hit and power despite a relatively squat frame at a stocky 5-foot-11 or so. He has thunderous hands, authoritative to all fields. Peña's swing has big time natural uppercut — at times it has an abbreviated finish, at times it finishes in the dirt behind him a la Ken Griffey Jr. — and it's going to allow him to get to big time in-game power. He has a great chance to have an impact hit/power combination. Peña's a below-average runner and athlete who plays defense with a high center of gravity; he's more of a possible third base fit with first base possibility. A mature build and feel to hit create the possibility that Peña moves quickly through pro ball. He has the talent to be a middle-of-the-order force.",,
"Kevin Alvarez","1B/LF","Int'l Amateur",2025,"17.0055555","Dominican Republic",,"HOU",2000000,"6' 3""","180","L","L","45+","High","A 6-foot-4 Cuban outfielder with very exciting left-handed power projection, Alvarez has a big, prototypical corner outfield frame in the Nick Castellanos mold. His hands work with natural loft; he has a traditional low-ball lefty scoop. His lever length creates some hit tool risk, but Alvarez might be able to shorten up as he gets stronger. He's fast enough at time of signing to try center field in pro ball, but realistically (and perhaps ideally) Alvarez will be too big at maturity to play there. A below-average arm limits him to left field if that's the case, but the raw power to clear the bar at that position is going to be here. Potential three- or four-hole hitter with 25-plus bombs.",,
"Diego Tornes","LF","Int'l Amateur",2025,"16.5333333","Cuba",,"ATL",2497500,"6' 3""","190","S","R","45+","High","Tornes is a big, switch-hitting power bat prospect with lethal pop from the left side of the plate who generates some Anthony Santander comps. The other similarity shows in Tornes' lefty swing, which requires little mechanical runway to generate lethal bat speed. His stride back towards the pitcher occupies a lot of the batter's box but he doesn't use a big leg kick to get there. The strength and explosion in Tornes' hands is special and, unlike a lot of other hitters his size, it doesn't take an elaborate operation to generate. His right-handed swing isn't as explosive and there are scouts who think he should just be hitting left-handed. His bat path isn't in the hitting zone for an especially long time. Tornes' conditioning has waxed and waned during the time between his verbal commitment and signing day, and he's likely a left field fit on defense long-term. Tornes has the talent to hit his way into the middle of a big league order one day.",,
"Yorger Bautista","CF","Int'l Amateur",2025,"17.3222222","Venezuela",,"SEA",2100000,"6' 1""","175","L","L","45","High","Scouts generally like Bautista more than his raw bonus would indicate. He's a twitchy, medium-framed outfielder with explosive hitting hands and wrists, and a swing that has natural loft. Bautista's hit tool is consistently lauded. He has a shot to remain in center field thanks to his speed, though it might depend on how he develops physically. Bautista is a well-rounded center field prospect with a shot to do at least a little bit of everything and be an everyday player.",,
"Andrew Salas","SS","Int'l Amateur",2025,"16.8638888","Venezuela",,"MIA",3700000,"6' 2""","185","S","R","45","High","Salas been among the top players in the 2025 international class for a while, in part because of his siblings (Ethan and Jose), domestic showcase activity, and his family's heavily-scouted baseball training facility. Andrew is a talented, projectable shortstop with a shot to be plus defender. He has experience at shortstop and in center field, including summer 2024 pro ball in Venezuela. He comfortably has the range, actions, and arm to stay at shortstop, and is great around the bag himself and at feeding teammates. On offense, Salas' low-ball swing produces gap-to-gap contact. He might struggle with high fastballs the way Jose did once he got into the mid-minors. Salas has a projectable build; he's 6-foot-3 with broad, sloping shoulders. He should grow into above-average power, but whether his swing is geared to tap into it is another matter. Salas is a potential everyday shortstop whose bonus is likely to approach $4 million.",,
"Cristopher Polanco","SS","Int'l Amateur",2025,"17.0333333","Dominican Republic",,"TOR",2297500,"5' 11""","170","L","R","45","Med","Polanco is a low-to-the-ground defender with plus feet, hands and actions. His arm strength the lone question on defense; Polanco is otherwise among the best infield defenders in the 2025 international class. He has a smaller frame but is muscular and strong for his size. Polanco's twitchy, and his hands are often in the right place at the right time in the batter's box. A compact athlete with a compact swing, he covers the inner half well. There's a chance for a plus hit tool and shortstop defense here, with Polanco's power likely below average at maturity due to his lack of size.",,
"Tomoyuki Sugano","SP","NPB",2025,"35.3388888","Japan","Yomiuri Giants","BAL",,"6' 1""","200","R","R","45","Low","In 12 pro seasons, the 35-year-old Sugano has been a two-time Central League MVP, a two-time Sawamura Award winner (NPB's Cy Young equivalent), and an eight-time All-Star. He was coming off an MVP win when he was posted for MLB clubs after the 2020 season, but he did not sign during the posting window. Instead, he returned to the Yomiuri Giants on a four-year deal with opt outs after each season. Sugano's ability to miss bats regressed in each of the next several seasons and he stayed in Japan. A 2024 bounce back and the end of his deal with Yomiuri give Sugano a natural moment to attempt a move to MLB again. 
He posted a 1.67 ERA in 156.2 IP in 2024 despite a pedestrian 18% strikeout rate, well below Sugano's peak but better than most of his last couple of seasons. Sugano is a crack shot with five pitches, a true craftsman with gorgeous feel for location. He attacks with a fairly even mix of five different pitches, works efficiently (he averaged 7 IP per start in the second half of 2024), and generates enough groundballs to forgive some of his lack of bat-missing ability. Sugano sat 92-93 in his October 2024 playoff outing, harder than he had thrown all season (he was coming off extended rest). He's a loose, limber 35-year-old with a whippy, deceptive delivery. He can vary the shape and speed of several different breaking balls and keep hitters off balance, but his most reliable way to finish hitters is with a diving splitter. It's plausible that the slightly different seam and size characteristics of MLB's baseball compared to NPB's will make it harder for Sugano to replicate his breaking ball quality on our shores, but he is otherwise a very stable backend starter. His stuff may not be good enough for Sugano to make a team's playoff rotation, but his ability to avoid walks and eat innings will make him a very valuable regular season contributor.","SXuFmyt6jZI",
"Cris Rodriguez","RF","Int'l Amateur",2025,"16.9638888","Dominican Republic",,"DET",3197500,"6' 4""","200","R","R","45","High","The most physically impressive prospect in the class, Rodriguez is built like a young Larry Fitzgerald. He has become enormously strong over the last year or so, and now has shoulders so big it looks like he's hiding a grapefruit under each sleeve. Rodriguez is a long-levered 6-foot-4 with plus power right now, and he has a good chance to grow into even more as he keeps filling out. It's a turbo-charged right field profile with power and arm strength. Rodriguez garners mixed reviews on his hit tool and contact ability from scouts. His lever length and oppo tendency might be an issue against pro velo. A corner-only fit on defense combined with hit tool risk creates low floor for the profile, but 30-plus homer upside exists if he can actually hit. Rodriguez was working out in Yankees gear at one point during the process, but now is expected to sign with Detroit for a shade over $3 million.",,
"Ruben Castillo","CF","Int'l Amateur",2025,"17.0305555","Dominican Republic",,"NYY",875000,"6' 0""","155","L","L","40+","High","Castillo is a very exciting, projectable center field prospect who has worked out both on the infield and in the outfield. He's a cut, angular athlete built like a prototypical center fielder. Twitchy and fast, Castillo also has a plus outfield arm, and the way his body unwinds when he uncorks one is both beautiful and explosive. He has quick, fairly powerful hands but his swing is really, really long. There's hit tool risk here because of Castillo's swing, but his up-the-middle fit and power projection give him considerable upside.",,
"Dorian Soto","SS","Int'l Amateur",2025,"16.9194444","Dominican Republic",,"BOS",1400000,"6' 3""","185","S","R","40+","High","Soto is a projectable switch-hitting shortstop who has gotten stronger during the commitment window. Both of his swings are very long, but ferocious. He has uncommon power potential from both sides of the plate. His growing size creates risk that he'll need to move off of shortstop. Among the more magmatic, high-variance prospects in the class, there are paths where Soto is a K-prone third baseman and others where he's a 20-homer shortstop.",,
"Raudy Reyes","SIRP","Int'l Amateur",2025,"16.3972222","Dominican Republic",,"ATL",1797500,"6' 4""","200","R","R","40+","High","Reyes is a physically mature righty who was touching 100 before he turned 16; he has been up to 101. His fastball has real carry and vertical shape, while his slider is plus and has plus velocity. Reyes has not been able to throw strikes in workouts. He has late-inning relief upside if he can maintain peak stuff across an actual season of innings.",,
