Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Ha-Seong Kim","SS","KBO",2021,"25.2444444","South Korea","SDP","SDP",4,"5' 9""","175","R","R","50","Med","Kim is an explosive, compact-bodied athlete with natural doubles power who frequently turns on pitches on the inner half and absolutely obliterates balls to his pull side. He took bigger hacks during the 2020 KBO season and hit more homers without impacting his contact rates, as he also had more walks than Ks. An everyday talent who'll be on the overall top 100 prospects list this offseason, it's impossible to say whether Kim will be able to make the leap from Korean to MLB pitching seamlessly, but his KBO numbers are more favorable than other recent successful players, he's younger, and his defensive ability gives him more margin for error in this regard.","PHWfaRLrd4U","27506"
"Carlos Colmenarez","SS","Int'l Amateur",2021,"17.1666666","Venezuela","TBR","TBR",3200000,"6' 1""","175","L","R","45+","High","A sweet-swinging, lefty-hitting shortstop with a good frame, Colmenarez has been among the best players in the 2020 International Amateur class for quite a while now, at times claiming the top spot. His swing has natural lift out in front of the plate and he has shown feel to hit in games. Based on looks at him in workouts, he is likely to stay at short, where he has plus hands and actions, and average range and arm strength. He is a caliber of prospect commensurate with a mid-first round pick.","PYWpq-V0Jmg",
"Wilman Diaz","SS","Int'l Amateur",2021,"17.1666666","Venezuela","LAD","LAD",2750000,"6' 0""","165","R","R","45","Med","His frame isn't as angular and projectable as the other top-of-the class infielders but Diaz is the best pure hitter among them. While there's not overt power projection on the frame, you can project more future in-game power from Diaz because he's an explosive rotational athlete whose backswing threatens to clip the mask of the catcher behind him. He's arguably a bit safer than some of the other top amateur shortstops in our international rankings because of how he's hit in games.",,
"Pedro Pineda","RF","Int'l Amateur",2021,"17.3583333","Dominican Republic","OAK","OAK",4200000,"6' 1""","175","R","R","45","High","Pineda has the most obvious power projection in the 2020 amateur class. He's built like a wide receiver but is actually fairly short to the ball for someone with such long levers. I had multiple sources tell me he had a positive PED test around a year ago, but now there's dissent among baseball people as to whether or not that's true, and scouts and agents who have sought out an answer have gotten mixed responses. (As an aside, none of the other prospect publications have reported it.) Regardless, it hasn't had an effect on where Pineda is ranked. He's a prototypical right field power prospect.",,
"Cristian Santana","SS","Int'l Amateur",2021,"17.1388888","Dominican Republic","DET","DET",,"6' 0""","165","R","R","45","Med","Among the more polished hitters in the class, Santana's swing is compact but dynamic throughout the hitting zone, he has natural feel for all-fields contact and his swing's gentle loft creates power without compromising much contact. He's this year's Placido Polanco comp, projecting to play second or third and hitting enough to profile there.",,
"Cristian Hernandez","SS","Int'l Amateur",2021,"17.0888888","Dominican Republic","CHC","CHC",3000000,"6' 1""","170","R","R","45","High","A high-probability shortstop with a long-limbed, projectable frame, Hernandez is your traditional international amateur who excels in a workout environment. His infield actions are smooth and athletic, his swing has a gorgeous, pronounced finish, and he has the right amount of overt physical projection that may see him mature into the unteachable, star-making Goldilocks Zone where Hernandez stays at short and also has impact power. The components of Hernandez's swing push and pull against one another, as his cut is pretty long but he also has very advanced barrel control. He's able to pull his hands in and get the barrel on inside pitches and he also has good vertical plate coverage. The downward sweeping nature of the swing might dilute Hernandez's game power relative to his projected raw, but the Cubs have had some recent success in tweaking swings like this.","MnL6q-LWx3o",
"Yiddi Cappe","SS","Int'l Amateur",2021,"18.4111111","Cuba","MIA","MIA",3500000,"6' 3""","175","R","R","40+","High","There are differing opinions on Cappe, with some teams enthusiastic about the lanky, toolsy shortstop's upside while others see him as a workout type with questions surrounding his in-game ability. He hit the market way back in 2019 when many teams had already committed their pool money, and was rumored to have made a $3.5 million deal with Miami to wait 12 months until July 2nd of 2020 when pools reset. That became a longer wait because of the pandemic.","QPKJomTmAVM",
"Pedro Leon","RF","Int'l Amateur",2021,"22.6305555","Cuba","HOU","HOU",4000000,"5' 9""","200","R","R","40+","High","A 5-foot-9 stick of dynamite, Leon has a big power/speed/arm tool trinity. He was cleared to sign last December but an oblique injury moved back his workout. When it was finally held, teams got a text on the way there saying that Leon had a deal with Houston already done. He hit 15 home runs in 33 Cuban National Series games before a shoulder injury sidelined him. The shoulder is healthy, and with his power, elite arm strength and incredible bat speed from the right side, Leon is the sort of player who would have prompted teams to burst through their bonus pool when they weren't hard-capped. The success rate of Cuban hitters, especially ones who have had a long time away from baseball during their relocation process and pre-eligibility period, is highly variable.",,
"Jesus Galiz","C","Int'l Amateur",2021,"17.1","Venezuela","LAD","LAD",400000,"6' 1""","180","R","R","40+","High","Every year it seems like there is a top-of-the-class, well-rounded Venezuelan catcher lauded for his defensive acumen, and this year it's Galiz. He's a physical young man with plus raw arm strength and a solid-but-unexplosive contact/power blend. Teenage catching, no matter where it comes from, is volatile, but Galiz is a potential everyday big leaguer.",,
"Manuel Peña","3B","Int'l Amateur",2021,"17.1111111","Dominican Republic","ARI","ARI",1400000,"6' 2""","175","L","R","40+","Med","Peña is a physical, big-framed third base prospect with a good-looking swing.",,
