Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Roderick Arias","SS","Int'l Amateur",2022,"18.4444444","Dominican Republic",,"NYY",4000000,"6' 1""","180","S","R","45+","High","Arias looks like a typical top-of-the-class shortstop. His skill foundation (high-probability shortstop, viable hit tool from both sides supported by in-game performance) combined with his body projection creates lots of positive potential outcomes, the best of which would be Arias' maturation into the Goldilocks Zone, where he'll have added strength via maturity to hit for power, while also staying agile enough to play shortstop. That's the type of outcome that would yield a star player. If an aspect of his offensive profile falls short, the possibility of him either hitting or hitting for power while staying at shortstop would mean Arias becomes merely a solid big leaguer. Arias shares body and swing similarities with Cleveland shortstop Bryan Rocchio (the Rocchio of right now, not Rocchio when he was Arias' age), rolling his hands and elbow through contact in a way that enables airborne contact to all fields. There are hit/approach elements the industry can't be sure about until it sees Arias face pro-level pitching for an extended stretch, but he's been considered at or among the top players in his class for a few years after performing in a showcase setting.",,
"Seiya Suzuki","OF","NPB",2022,"28.5027777","Japan","Hiroshima Toyo Carp","CHC",,"5' 11""","182","R","R","45","Med","Suzuki has been one of the, if not <em>the</em>, best hitters in Japan for the last several years, posting a .316/.415/.572 career line, notching a 20/20 season in 2019, and setting a career-high in homers (38) in 2021. The righty-hitting outfielder has plus power that comes from a dip-and-rip style of hitting, where he just sort of collapses his back side and tries to pull the ball with power as often as possible. That's not to say Suzuki is a power goof. He has a cogent two-strike approach in which his leg kick gets toned down, and he's great at recognizing and crushing breaking balls. In fact, if there's one hole in his game, it's that he can be vulnerable to velocity on the inner third. Suzuki is at his best when he's getting his arms extended on pitches well out over the plate, but he tends to foul off or swing under fastballs creeping in on him. It's tough to say whether this would be exploited more in MLB and impact his success, and it's even harder to say whether Suzuki will be able to adjust to MLB velocity (pitchers' fastballs in Japan averaged 90 mph in 2021) until we see him face it. He has the talent to be an everyday right fielder with some hit tool risk because of the leap in stuff he'd need to deal with.",,
"Nick Martinez","SP","NPB",2022,"32.5388888","Fordham","Fukuoka Hawks","SDP",,"6' 1""","200","R","R","45","Low","Martinez was last pitching stateside in 2017 while he was with Texas. He left for Hokaaido, where he pitched for a couple of years before joining the Hawks, amid a two-tick velo bump that occurred during his last two seasons in the U.S. That has continued a bit while Martinez has been in Japan, and he'll often sit 93-95 early in starts. He's also developed a much better changeup; it's now a plus pitch. He throws a ton of strikes, can pitch backwards off his curveball, will finish hitters with either his changeup or fastball, and induce weak contact with a cutter. He's likely to plug in to a big league rotation in 2022.",,
"Cristian Vaquero","RF","Int'l Amateur",2022,"18.4333333","Cuba",,"WSN",4000000,"6' 3""","170","L","R","40+","High","Vaquero has the most projectable frame in his entire amateur class and might be committed to play wide receiver at some ACC school had he been born in the United States. Instead, he's a huge power/speed prospect with some hit tool risk.",,
"Robert Suarez","SIRP","NPB",2022,"31.9666666","Venezuela","Hanshin Tigers","SDP",,"6' 2""","210","R","R","40+","Med","Suarez has been pitching in Japan since 2016 and has some of the best arm strength in NPB. He's averaged a strikeout per inning during that stretch, sitting 94-99 with a pretty freaky, low-90s changeup. He's likely to sign with the Padres and factor into their later innings in 2022.",,
"Leandro Arias","SS","Int'l Amateur",2022,"18.0388888","Dominican Republic",,"BAL",,"6' 1""","170","S","R","40+","High","Arias has a slighter build than some of the players ahead of him here, but otherwise he has a complete skill set and very favorable general profile. He's a slick-fielding defensive shortstop with advanced feel for contact from both sides of the plate, and Arias could have a huge breakout if he ever starts to fill out and add power.",,
"Diego Benitez","3B","Int'l Amateur",2022,"18.25","Venezuela",,"ATL",,"6' 1""","190","R","R","40+","High","Benitez has a potent hit/power combination and a thicker frame that will likely to push him toward third base.",,
"Lazaro Montes","RF","Int'l Amateur",2022,"18.325","Cuba",,"SEA",,"6' 4""","205","L","L","40+","High","Montes has the second-most obvious physical projection in this class behind Vaquero. He has a traditional power-hitting corner outfield profile and a remarkably athletic swing for a young man his size.",,
"Dyan Jorge","CF","Int'l Amateur",2022,"19.9194444","Cuba",,"COL",2500000,"6' 2""","160","R","R","40+","High","He plays the game upright, without a lot of bend in his knees and hips, but Jorge is a premium rotational athlete with plus present bat speed and a Division-I cornerback build that portends more power. He is one of a few high-variance shortstop prospects in the class. He's also one of the oldest, as Jorge waited an extra year in order to sign for more money.",,
"Cesar Prieto","2B","CNS",2022,"23.775","Cuba","Cienfuegos","BAL",,"5' 8""","170","L","R","40+","Low","Prieto is the best pure hitter in Cuba. He broke Kendrys Morales' rookie hits record then broke the Serie Nacional's hit streak record (40 games) in 2020 while striking out just six times in 250 plate appearances. His swing and game resemble Eric Sogard's.",,
"Jarlin Susana","SP","Int'l Amateur",2022,"18.9055555","Dominican Republic",,"SDP",1700000,"6' 6""","230","R","R","40+","High","Susana had a very, very late spike in velocity and progressed from throwing in the mid-80s to the mid-90s during a very short period of time. Because he popped up late relative to his peers, most of the pool money for when he was first eligible to sign (last January) had already been committed and he opted to wait a year so that more teams could pursue him. Susana's your typical big-framed, big-armed teenage pitching prospect with both extreme risk and upside.",,
"Oscar Colás","RF","Int'l Amateur",2022,"24.4222222","Cuba","Fukuoka Hawks","CHW",,"6' 1""","209","L","L","40+","Med","Colás has huge lefty bat speed and pull-power, which drives a profile that comes with significant hit-related risk due to Colas' extra-long layoff from baseball, and the way he most recently looked against live pitching. Colás debuted in Cuba's Serie Nacional as a 17-year-old, but the most telling and important stretch of his pre-MLB career came in Japan while he played for the Fukuoka Hawks from 2017-19. After the 2019 NPB season, Colás essentially defected from Cuba by not returning after his season in Japan. He then began a long standoff with the Hawks regarding his contract's validity, arguing that the time Colás and his mother (he was a minor when he was initially transferred to Fukuoka) had to review Spanish-language contract documents after he had arrived in Japan was insufficient. Colás got what he wanted and is expected to sign with an MLB team in January. He's been working out in White Sox gear for several months while establishing residency in the D.R. During that time, Colás has remade his physique, which was pretty soft when he last played in Japan. His improved mobility makes it more likely that he ends up somewhere other than just DH. The probable outcome here is one that looks like Daniel Vogelbach's role: a lefty-hitting weapon off the bench who occasionally starts at 1B/DH/RF. ","e6zgbTNujR0",
"William, Jr. Bergolla","SS","Int'l Amateur",2022,"18.3583333","Venezuela",,"PHI",2300000,"5' 11""","160","L","R","40","Med","Bergolla is a twitchy, slick-fielding shortstop with pro ball bloodlines, as his father played for over a decade and got a cup of coffee with the Reds in 2005. The younger Bergolla is a polished player with a smaller frame, but he's got advanced feel for contact and is explosive enough that his size may not be a problem. He has a well-rounded skill set and a chance to move quickly because of his precocious baseball feel and instincts.",,
"Jonathan Mejia","SS","Int'l Amateur",2022,"17.8527777","Dominican Republic",,"STL",2000000,"6' 0""","160","S","R","40","Med","Mejia is a medium-framed switch-hitting shortstop with advanced feel for contact.",,
"Ricardo Cabrera","2B","Int'l Amateur",2022,"18.3027777","Venezuela",,"CIN",,"6' 0""","175","R","R","40","High","The short-levered Cabrera has a contact-driven profile. LIkely to stay on the infield somewhere, we have him projected to second base in anticipation of him becoming stocky and strong at maturity. The feel to hit gives Cabrera a floor of sorts, while his compact frame limits power projection that doesn't come at the cost of mobility.",,
"Yasser Mercedes","RF","Int'l Amateur",2022,"18.2583333","Puerto Rico",,"MIN",,"6' 3""","180","R","R","40","High","Born in Puerto Rico and raised for a bit in the U.S., Mercedes eventually settled in the D.R., where he became a prototypical right field prospect with plus potential power and arm strength.",,
"Yordany De Los Santos","3B","Int'l Amateur",2022,"18.0055555","Dominican Republic",,"PIT",,"6' 1""","170","R","R","40","High","De Los Santos has plus bat speed and a projectable frame, as well as a decent chance to stay at short. There are some concerns about his bat path's viability right now.",,
"Tony, Jr. Blanco","RF","Int'l Amateur",2022,"17.7638888","Dominican Republic",,"PIT",,"6' 5""","230","R","R","40","High","Blanco is a gigantic corner outfield/1B prospect with arguably the most present raw power in the January 2022 signing group. The recent track record of hitters this size is not favorable, with only Franmil Reyes really panning out. That's exactly who Blanco proponents compare him to.",,
"Alexis Hernandez","SS","Int'l Amateur",2022,"18.1444444","Dominican Republic",,"CHC",1000000,"6' 2""","175","R","R","40","High","Assuming he adds some arm strength through maturation, Hernandez is a smooth, high-probability shortstop prospect with a great-looking righty swing and a projectable frame.",,
"Abdidas De La Cruz","SS","Int'l Amateur",2022,"18.2944444","Dominican Republic",,"ARI",,"6' 3""","190","R","R","40","High","De La Cruz has some of the fastest defensive actions in his signing class and a very projectable frame. His swing is rough and leaves him very vulnerable to anything with tailing action, but for now his power projection and chances of staying at short are plenty to be excited about.",,
"Jaison Chourio","RF","Int'l Amateur",2022,"17.75","Venezuela",,"CLE",1500000,"6' 2""","165","S","R","40","High","Cleveland's run of young-for-the-class switch-hitters, both via the draft and in the international market, continues with Chourio. The square-framed youngster is a pure projection bet at this point, with flat, low-impact swings from both sides of the plate, but very exciting hand-eye coordination and feel for contact.",,
"Henry Ramos","RF","Int'l Amateur",2022,"18.4138888","Dominican Republic",,"KCR",,"6' 1""","175","L","L","40","High","Ramos has electric bat speed and a 70 arm, but also some hit tool questions because of how much effort he swings with. You can't teach this kind of bat speed, and that's the biggest reason Ramos is on our radar as he enters pro ball.",,
"Yilber Herrera","SS","Int'l Amateur",2022,"18.0944444","Dominican Republic",,"MIN",,"6' 0""","155","L","R","35+","High","Herrera has an old school look and hits sans batting gloves, drawing some visual, stylistic comps to Kyle Tucker. He's a smaller-framed player with a lefty-hitting utility look.",,
"Yendry Rojas","3B","Int'l Amateur",2022,"18.0611111","Cuba",,"SDP",,"6' 1""","190","L","L","35+","Med","A physical lefty stick, Rojas' carrying tool is his bat. Though he's worked out at shortstop in the past, he may end up trending way down the defensive spectrum due to his size and lack of arm strength. On his way there, he'll likely become a versatile defender, with combinations of second, third, and left field looking most likely.",,
"Freili Encarnacion","3B","Int'l Amateur",2022,"18.0638888","Dominican Republic",,"BOS",,,,"R","R","35+","High","Encarnacion has a big, projectable frame that lets you dream on his solid, if unspectacular current toolset.",,
