Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Yoshinobu Yamamoto","SP","NPB",2024,"25.9305555","Japan","Orix Buffaloes","LAD",,"5' 10""","190","R","R","65","Med","A mainstay at or near the very top of this player category since 2021, Yamamoto has been the best pitcher in Japan for the last several seasons and he's a virtual lock to be an impact MLB starter from the second he ties his spikes on our shores. In his walk year with Orix, he produced two more WAR than the next best NPB pitcher (Roki Sasaki) even though Yamamoto threw 30 fewer innings (164) than he had in each of the last two seasons. He produced his third consecutive season with a sub-2.00 ERA, as well as a sterling 26.6% K%, 4.4% BB%, 53% GB%, a microscopic 1% HR/FB% and a career-best 1.74 FIP. A plus-plus on-mound athlete with mid-90s arm strength, Yamamoto locates virtually all of his pitches at will and walked just 28 batters across 164 innings in 2023. His mid-90s fastball (he averaged 95 mph but peaks in the 97-99 mph range) enjoys substantial in-zone whiff utility thanks to his velo, the rise/run shape and shallow angle of his heater, and Yamamoto's feel for locating it in the top third of the zone and above. After several consecutive seasons of decline, Yamamoto showed an uptick in two-seamer usage in 2023, though his groundball rate dropped four percentage points compared to prior years. His four-seamer pairs nicely with a nasty, old school, upper-70s curveball, which Yamamoto uses to both get ahead of and finish hitters. A low-90s splitter is his best pitch and most-deployed secondary weapon. It has exceptional bat-missing drop and doesn't need to be located precisely in order to play. A more pedestrian slider/cutter, which lives off of Yamamoto's consistent glove-side command, rounds out his repertoire. 
Inextricably linked to Japanese pitching prospects are questions about how they'll respond to a potential change in routine (a start once every five days instead of once a week) and how their breaking stuff will play upon transition to the lower-seamed MLB baseball. While these apply to Yamamoto, it's plausible an MLB team will parlay his combination of arm strength and feel for spin into a better hard slider, or variant thereof, so there is also some ""good variance"" around the way I'm projecting Yamamoto's breaking ball(s) here. The entire package is very reminiscent of peak Zack Greinke, as Yamamoto's frame, delivery, stuff quality and command are all of that ilk.","6ooumDUbaT0","33825"
"Leodalis De Vries","SS","Int'l Amateur",2024,"17.7805555","Dominican Republic",,"SDP",4200000,"6' 2""","190","S","R","50","High","De Vries is a do-everything, switch-hitting infielder with power from both sides of the plate. There are international scouting personnel whose club reports on De Vries say ""everything is at least plus,"" that he's a no-doubt shortstop with a 60- or 70-grade arm and a projectable frame, and one executive considers him the best international prospect in more than a half decade. 
De Vries can really bang from both sides of the plate. He already has oppo home run power from the left side and can drop the bat head to golf out some emphatic pull-side shots. He isn't so lanky and big-framed that you worry he'll move off of shortstop, and his twitch and arm strength give him a great chance of not only staying there but being an above-average defender or better. It's uncommon for an international amateur prospect to enter pro ball as a 50 FV player, and the track record of such players is mixed due to the volatile nature of this talent pool, but the word of mouth buzz around De Vries is deafening. He reportedly has a verbal agreement with the Padres for close to $4.5 million.",,
"Jung Hoo Lee","CF","KBO",2024,"25.9222222","South Korea","Kiwoom Heroes","SFG",,"6' 1""","172","L","L","50","Med","Lee has been evaluated as a Top 100-quality prospect at FanGraphs since the 2020 KBO season and is an incredibly skilled contact and defense-oriented outfielder with important baseball lineage. His father, Jong-beom Lee, was a five-tool superstar ballplayer who stole as many as 84 bases in a single 124-game KBO season and had several 20-plus homer campaigns across a nearly 20-year career (!) in pro ball. 
Jung-hoo's career began in a precocious fashion, as he was the first player in KBO history to go straight from high school to their top level of play; he won Rookie of the Year as an 18-year-old in 2017. Since arriving in the league, Lee has a career .340/.407/.491 line, has made elite rates of contact (roughly 5.5% K% and 11% BB% combined the last two seasons), and has had a couple of years in which he also hit for meaningful power. He clubbed 23 homers and nearly 60 extra-base hits during his 2022 MVP campaign, but experienced a substantial downtick in power during an injury-shortened 2023, and he has hit double-digit home runs in just two of his seven KBO seasons. Lee's career groundball rate, which has typically hovered around a whopping 60%, has been a lurking indication of regression even during his best power-hitting seasons. 
Lee's carrying tool is his Jedi-like bat control, which he uses to deflect pitches all over the strike zone to all fields. His swing is incredibly cool and fun to watch, as Lee's open stance comes closed very early before he take a huge stride back toward the pitcher and unwinds from the ground up. As fun as his swing is, it bears a resemblance to Zac Veen's early-career swing both in terms of some of the stop-and-start nature in his footwork and the way his hands fire from a dead stop. His hand-eye coordination and ability to manipulate the barrel is amazing, however. Hitters in Asian pro leagues tend to face premium velocity less often than upper-level domestic prospects, which creates a wide error bar in projecting whether or not their hit tools will play here. Using Synergy to isolate Lee’s performance against fastballs at or above the MLB average (93 mph and up) yields just 154 pitches combined throughout the last two seasons; he slashed .268/.348/.415 against them. Bump the bottom boundary up to 94 mph and he slashed .276/.300/.379 across 96 pitches. Any higher a velocity bar and the sample is too small to glean anything. It might take a tweak to his swing, and ideally Lee will continue to get stronger as he matures into his late 20s, but his feel for contact is an exciting foundational skill on its own. 
If Lee doesn't end up hitting for power, his center field defense will help buoy his overall contribution to a team. He's a plus runner with above-average range and ball skills, and a plus arm. Whether he's retained that coming off a 2023 ankle injury that required surgery, teams can't know for sure. English-language reports describe his injury as an ""ankle fracture,"" and my sources indicate there was an injury to his tendon, which could mean we're talking about an avulsion fracture. Lee also had left labrum surgery in 2018. He is perhaps the highest-variance free agent on the market this offseason because there are outcomes where Lee gets stronger and does at least a little bit of everything on top of an elite hit tool, but  there are also outcomes where his center field-worthy speed is diminished and his hit tool doesn't play the same in MLB. The most likely forecast is somewhere in the middle, and here Lee projects as a table-setting center fielder without much pop, though whatever the case, teams should be prepared to make a multi-year project out of Lee so he has time to adjust in the same ways Ha-Seong Kim has.","hQYbPw53SuA","33824"
"Emil Morales","SS","Int'l Amateur",2024,"17.8333333","Dominican Republic",,"LAD",1900000,"6' 3""","185","R","R","45+","High","Morales has perhaps the best long-term power projection among the 2024 international class infielders, as most of the other prospects with wide receiver-ish builds are outfielders. Morales has wide shoulders, long levers, and a high waist that gives him the look of an early-career Fernando Tatis Jr. in the uniform. Morales also has explosive power to his pull side and can already put balls out to dead center field at age 17. Unlike a lot of lanky teenage hitters, Morales' bat-to-ball performance in amateur events was statistically strong. On film, his hands have a late, deep move that I worry will make him late against pro velocity, but it's too early to care much about that. Morales bends well for an athlete of his size and build, and he has a decent shot to stay at shortstop. While he's a skill fit there, it's plausible that sheer size will force him to move in his early-to-mid-20s. Morales is expected to sign for about $2.5 million.",,
"Adriel Radney","CF","Int'l Amateur",2024,"17.0805555","Dominican Republic",,"ARI",1850000,"6' 3""","180","R","R","45+","High","Earlier during the scouting process, Radney, who reportedly agreed to sign for $1.8 million, looked more like an Eloy Jiménez type of prospect, a huge-framed corner outfielder who might grow into enormous raw power. As signing day has approached, Radney has become a sleeker, speedier athlete, and now has a better chance to become a true center fielder than was anticipated. He still carries with him substantial power projection, and Radney has a non-zero chance of maturing in the Goldilocks Zone as an athlete who retains the speed to play center field while also developing big power. International scouts are also fairly bullish about Radney's bat-to-ball ability, or at least there aren't proactive doubts surrounding his hit tool. Radney is one of the few prospects in the 2024 class who has a chance to do at least a little bit of everything (and a lot of some things), and he's also one of the youngest.",,
"Fernando Cruz","SS","Int'l Amateur",2024,"17.6916666","Dominican Republic",,"CHC",4000000,"5' 10""","160","R","R","45","High","Cruz shines in a showcase setting. He has gorgeous infield footwork and actions, turning the baseball around in the blink of an eye. He can make strong, accurate throws from all kinds of platforms, and could eventually be a special defensive player. While his swing can be a little noisy and long, Cruz is loose and athletic in the box, has plus bat speed, and can spray contact to all fields. Mechanical polish isn't terribly important at this stage, the talent piece of the evaluation is, and in this regard Cruz is a complete, exciting player with big upside. He and the Cubs reportedly have a verbal agreement for about $4 million.",,
"Shota Imanaga","SP","NPB",2024,"30.8916666","Japan","Yokohama BayStars",,,"5' 10""","176","L","L","45","Low","Imanaga presents MLB clubs with the skill set of an ultra-stable no. 4 or 5 starter thanks largely to his exceptional command. He walked just 4% of opposing hitters in 2023, his third straight season with a BB% less than 6%. Imanaga has enjoyed a gradual velocity increase since entering pro ball in 2016, culminating in a strong 2023 walk year when he set a personal record for average fastball velo across an entire season (92 mph), as well as bests in strikeout rate (29%) and xFIP (2.38) in his 143 IP. His fastballs play up a bit due to his command and his low release, which is mostly created by his powerful, flexible lower body and drop-and-drive style of delivery. His low-80s slider is his finishing secondary pitch; it has plus two-plane wipe and, like the rest of his repertoire, is aided by Imanaga’s ability to locate. His stuff is otherwise pretty pedestrian. His low-70s curveball may be too slow to play in MLB and his changeup is reliant upon location much more than stuff, but of course Imanaga's command of it is exceptional — that pitch barely ever finishes in a vulnerable spot. 
Imanaga has been slightly homer-prone in Japan, with a 8.3% HR/FB rate across the last three seasons combined; the NPB average is only 6%, half the MLB rate. Any pitcher who works at the top of the zone as often as Imanaga does is likely to have a high fly ball rate, but Imanaga’s 58% FB% (NPB average is 45%) is astronomical and points to some risk that he gets shelled by stronger MLB hitters. Perhaps I’m underrating the impact Imanaga’s command will have on his overall performance, but I think most of his value will be in the volume of innings he works rather than his pound-for-pound impact, and he strikes me as the sort of talent who gets shifted into a long relief role during October crunch time.","jVVuafVGLZ4","33829"
"Erick Fedde","SP","KBO",2024,"31.4083333","UNLV","NC Dinos","CHW",,"6' 4""","203","R","R","45","Low","Fedde had an incredible 2023 season for the KBO's NC Dinos, as he posted a 2.00 ERA in 180.1 IP while striking out 209 and walking just 35. According to a <em>Washington Post</em> article by Jesse Dougherty, Fedde went to Push Athletic in Scottsdale and remade his body, mechanics, and the shape of his three most-used pitches. He hasn't had a significant arm strength boost, but Fedde's arm slot has raised a bit, his fastball looks heavier (70% GB% in 2023!), and he has upped his changeup usage. His newly-shaped slider was easily his most dominant pitch in 2023 and generated 41% of Fedde's swings and misses. The chase rate on his changeup and slider was up around 40% for both pitches, and Fedde looked rejuvenated despite working as many innings as he did. He has a chance to make an impact similar to the one Merrill Kelly has made in Arizona and slot into a contending team's rotation.","-oxQ85lI5ok","17425"
"Victor Hurtado","RF","Int'l Amateur",2024,"17.1611111","Dominican Republic",,"WSN",2700000,"6' 2""","175","L","L","45","High","Hurtado is an ultra-projectable left-handed hitting outfield prospect with a lovely swing, one that features power-promising loft without compromising contact. He is as loose and flexible as any prospect in this class, and the way his body moves when he's throwing from the outfield is reminiscent of Ichiro. Hurtado's swing has some length, but it's likely to shorten up as he gets stronger and doesn't have to use his whole body to ignite it. He's expected to sign with the Nationals for between $2.5 million and $3 million.",,
"Adolfo Sanchez","RF","Int'l Amateur",2024,"17.8416666","Dominican Republic",,"CIN",2700000,"6' 3""","180","L","L","45","High","Though he is much more likely to end up defending a corner position than your typical top-of-the-class international prospect, Sanchez's present hit and power combination is very exciting, and his FV grade has been juiced above my typical heuristic for a prospect like this because he looks like such a smooth and dangerous hitter. Sanchez has a dynamic and beautiful left-handed swing that combines natural loft and barrel precision to give him one of the better looking present offensive toolsets in the class. His top hand drives the quality of his contact, and Sanchez is shorter to the baseball than most players his size and age. He's also become meaningfully stronger during the last year or so, and could be poised to move quickly through complex-level ball. The Reds have gravitated toward international prospects who the industry perceives as having more polished hit and power combinations, and that's again the case with Sanchez, whose rumored bonus with Cincinnati is a little less than $3 million.",,
