"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
153283,702674,"Caden Dana",20,2024,"LAA",3,3,0,10.3,1,2,0,0,0,9.58,12,11,6,3,0,5,32,7,8,1,52,206
141891,683409,"Angel Chivilli",21,2024,"COL",30,0,0,31.7,2,3,1,2,7,4.55,17,16,20,2,2,7,58,10,28,1,133,513
148109,691441,"Cristian Mena",21,2024,"AZ",1,1,0,3,0,0,0,0,0,12,4,4,2,0,0,2,10,3,2,0,15,70
151488,700363,"AJ Smith-Shawver",21,2024,"ATL",1,1,0,4.3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,4,0,18,87
151613,695549,"Jackson Jobe",21,2024,"DET",2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,16,48
128054,679885,"Justin Martinez",22,2024,"AZ",64,0,0,72.7,5,6,8,2,9,2.48,26,20,46,10,1,2,77,36,91,2,308,1177
141711,683155,"Joey Estes",22,2024,"OAK",25,24,1,127.7,7,9,0,0,1,5.01,73,71,71,34,2,23,237,27,92,10,543,2027
142066,683618,"Edgardo Henriquez",22,2024,"LAD",3,0,0,3.3,0,0,1,0,0,2.7,1,1,2,0,0,0,2,2,5,0,14,59
142072,683568,"Jairo Iriarte",22,2024,"CWS",6,0,0,6,0,1,0,0,0,1.5,3,1,3,0,0,0,3,8,6,0,30,137
142085,683627,"Anthony Molina",22,2024,"COL",35,1,0,59.7,1,1,0,2,2,6.79,46,45,50,16,1,5,105,22,41,2,264,1048
147803,690986,"Kyle Harrison",22,2024,"SF",24,24,0,124.3,7,7,0,0,0,4.56,65,63,81,25,1,18,206,42,118,7,532,2078
147812,683003,"Jared Jones",22,2024,"PIT",22,22,0,121.7,6,8,0,0,0,4.14,60,56,55,29,4,18,197,39,132,5,504,1912
148363,691951,"Sam Aldegheri",22,2024,"LAA",3,3,0,13,1,2,0,0,0,4.85,12,7,10,3,0,2,24,10,10,2,67,222
151692,692230,"Carlos Rodriguez",22,2024,"MIL",3,3,0,12.3,0,3,0,0,0,7.3,11,10,14,1,1,3,31,3,9,0,57,233
151715,700187,"Troy Taylor",22,2024,"SEA",21,0,0,19.3,0,0,1,0,6,3.72,8,8,7,4,0,4,31,7,25,0,81,328
160224,694462,"Hurston Waldrep",22,2024,"ATL",2,2,0,7,0,1,0,0,0,16.71,13,13,5,1,0,3,19,8,3,1,36,133
160581,695076,"Rhett Lowder",22,2024,"CIN",6,6,0,30.7,2,2,0,0,0,1.17,4,4,23,2,0,0,27,14,22,0,128,498
161332,694973,"Paul Skenes",22,2024,"PIT",23,23,0,133,11,3,0,0,0,1.96,31,29,69,14,1,10,140,32,170,6,514,2125
163878,806185,"Hayden Birdsong",22,2024,"SF",16,16,0,72,5,6,0,0,0,4.75,39,38,34,11,1,11,103,43,88,4,315,1388
110387,672456,"Keider Montero",23,2024,"DET",19,16,1,98.3,6,6,0,0,0,4.76,54,52,65,14,2,19,175,31,77,3,412,1539
114206,671737,"Taj Bradley",23,2024,"TB",25,25,0,138,8,11,0,0,0,4.11,68,63,77,22,1,22,212,47,154,3,578,2294
125676,680572,"Adam Kloffenstein",23,2024,"STL",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15
126791,681432,"Luke Little",23,2024,"CHC",30,1,0,26,3,1,0,0,3,3.46,11,10,10,4,0,1,22,18,28,4,109,434
132337,678821,"Luis Peralta",23,2024,"COL",15,0,0,12.3,0,0,0,0,2,0.73,1,1,6,1,0,0,8,5,14,2,49,181
133260,682990,"Quinn Priester",23,2024,,11,7,0,49.7,3,6,0,0,0,4.71,30,26,42,6,1,7,85,14,33,3,221,811
141257,680573,"Simeon Woods Richardson",23,2024,"MIN",28,28,0,133.7,5,5,0,0,0,4.17,63,62,87,21,1,16,196,48,117,3,569,2296
