"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Webb, Logan","657277","2024","841","617",0.258,0.271,-0.013000000000000012,0.355,0.411,-0.055999999999999994,0.288,0.32,-0.03200000000000003,"3.47","4.31","-0.836"
"Lugo, Seth","607625","2024","836","598",0.229,0.243,-0.013999999999999985,0.353,0.389,-0.03600000000000003,0.278,0.3,-0.021999999999999964,"3.00","3.75","-0.745"
"Nola, Aaron","605400","2024","820","570",0.247,0.244,0.0030000000000000027,0.421,0.387,0.033999999999999975,0.31,0.299,0.01100000000000001,"3.57","3.72","-0.153"
"Gilbert, Logan","669302","2024","803","542",0.196,0.224,-0.027999999999999997,0.353,0.369,-0.016000000000000014,0.255,0.276,-0.02100000000000002,"3.23","3.14","0.095"
"Wheeler, Zack","554430","2024","787","503",0.192,0.197,-0.0050000000000000044,0.328,0.328,0,0.256,0.261,-0.0050000000000000044,"2.56","2.80","-0.235"
"Berríos, José","621244","2024","786","565",0.235,0.265,-0.030000000000000027,0.406,0.44,-0.033999999999999975,0.308,0.334,-0.026000000000000023,"3.60","4.74","-1.137"
"Burnes, Corbin","669203","2024","784","553",0.226,0.231,-0.0050000000000000044,0.347,0.367,-0.020000000000000018,0.273,0.284,-0.010999999999999954,"2.92","3.34","-0.422"
"Kirby, George","669923","2024","778","568",0.245,0.236,0.009000000000000008,0.393,0.396,-0.0030000000000000027,0.287,0.287,0,"3.53","3.41","0.124"
"Keller, Mitch","656605","2024","773","540",0.261,0.248,0.013000000000000012,0.446,0.408,0.038000000000000034,0.331,0.319,0.01200000000000001,"4.25","4.28","-0.033"
"López, Pablo","641154","2024","772","523",0.252,0.239,0.013000000000000012,0.407,0.389,0.01799999999999996,0.306,0.297,0.009000000000000008,"4.08","3.67","0.409"
"Irvin, Jake","663623","2024","769","557",0.244,0.253,-0.009000000000000008,0.428,0.43,-0.0020000000000000018,0.314,0.32,-0.006000000000000005,"4.41","4.31","0.102"
"Anderson, Tyler","542881","2024","765","543",0.232,0.245,-0.012999999999999984,0.394,0.413,-0.01899999999999996,0.308,0.322,-0.014000000000000012,"3.81","4.37","-0.556"
"Corbin, Patrick","571578","2024","764","568",0.298,0.295,0.0030000000000000027,0.486,0.473,0.013000000000000012,0.357,0.357,0,"5.62","5.53","0.086"
"Ragans, Cole","666142","2024","762","466",0.213,0.216,-0.0030000000000000027,0.334,0.34,-0.006000000000000005,0.277,0.283,-0.00599999999999995,"3.14","3.31","-0.17"
"Cease, Dylan","656302","2024","762","469",0.2,0.21,-0.009999999999999981,0.332,0.358,-0.025999999999999968,0.266,0.283,-0.01699999999999996,"3.47","3.31","0.16"
"Singer, Brady","663903","2024","762","528",0.253,0.267,-0.014000000000000012,0.405,0.426,-0.020999999999999963,0.316,0.331,-0.015000000000000013,"3.71","4.65","-0.943"
"Severino, Luis","622663","2024","761","527",0.243,0.24,0.0030000000000000027,0.383,0.376,0.007000000000000006,0.308,0.305,0.0030000000000000027,"3.91","3.88","0.027"
"Pfaadt, Brandon","694297","2024","760","528",0.259,0.246,0.013000000000000012,0.421,0.397,0.023999999999999966,0.312,0.301,0.01100000000000001,"4.71","3.78","0.926"
"Crawford, Kutter","676710","2024","759","524",0.223,0.224,-0.0010000000000000009,0.419,0.412,0.007000000000000006,0.304,0.304,0,"4.36","3.86","0.501"
"Bassitt, Chris","605135","2024","758","504",0.27,0.256,0.014000000000000012,0.397,0.399,-0.0020000000000000018,0.331,0.327,0.0040000000000000036,"4.16","4.52","-0.362"
"Sears, JP","676664","2024","758","557",0.251,0.242,0.009000000000000008,0.439,0.442,-0.0030000000000000027,0.324,0.324,0,"4.38","4.43","-0.046"
"Gausman, Kevin","592332","2024","756","535",0.238,0.256,-0.018000000000000016,0.392,0.449,-0.056999999999999995,0.3,0.333,-0.03300000000000003,"3.83","4.71","-0.881"
"Sánchez, Cristopher","650911","2024","754","557",0.258,0.258,0,0.358,0.362,-0.0040000000000000036,0.29,0.293,-0.0030000000000000027,"3.32","3.56","-0.241"
"Skubal, Tarik","669373","2024","753","481",0.201,0.207,-0.005999999999999978,0.311,0.328,-0.017000000000000015,0.246,0.257,-0.01100000000000001,"2.39","2.72","-0.329"
"Houck, Tanner","656557","2024","743","524",0.231,0.257,-0.025999999999999995,0.32,0.384,-0.064,0.276,0.313,-0.03699999999999998,"3.12","4.11","-0.987"
"Canning, Griffin","656288","2024","739","537",0.265,0.259,0.006000000000000005,0.459,0.437,0.02200000000000002,0.341,0.333,0.008000000000000007,"5.19","4.71","0.48"
"Manaea, Sean","640455","2024","738","481",0.202,0.226,-0.023999999999999994,0.338,0.374,-0.035999999999999976,0.275,0.3,-0.024999999999999967,"3.47","3.75","-0.282"
"Rodón, Carlos","607074","2024","736","474",0.235,0.227,0.00799999999999998,0.435,0.421,0.014000000000000012,0.32,0.314,0.006000000000000005,"3.96","4.14","-0.18"
"Kikuchi, Yusei","579328","2024","736","484",0.245,0.238,0.007000000000000006,0.391,0.396,-0.0050000000000000044,0.297,0.298,-0.0010000000000000009,"4.05","3.70","0.347"
"Gore, MacKenzie","669022","2024","731","473",0.263,0.251,0.01200000000000001,0.398,0.377,0.02100000000000002,0.324,0.316,0.008000000000000007,"3.90","4.20","-0.304"
"Fedde, Erick","607200","2024","726","515",0.233,0.245,-0.011999999999999983,0.381,0.394,-0.013000000000000012,0.293,0.306,-0.013000000000000012,"3.30","3.91","-0.611"
"King, Michael","650633","2024","726","455",0.221,0.226,-0.0050000000000000044,0.346,0.359,-0.013000000000000012,0.284,0.293,-0.009000000000000008,"2.95","3.56","-0.606"
"Peralta, Freddy","642547","2024","725","447",0.224,0.224,0,0.387,0.377,0.010000000000000009,0.305,0.304,0.0010000000000000009,"3.68","3.86","-0.181"
"Gibson, Kyle","502043","2024","722","499",0.251,0.263,-0.01200000000000001,0.418,0.428,-0.010000000000000009,0.323,0.338,-0.015000000000000013,"4.24","4.87","-0.626"
"Mikolas, Miles","571945","2024","720","567",0.284,0.278,0.00599999999999995,0.485,0.458,0.02699999999999997,0.339,0.331,0.008000000000000007,"5.35","4.65","0.698"
"Castillo, Luis","622491","2024","719","492",0.238,0.244,-0.006000000000000005,0.412,0.404,0.007999999999999952,0.305,0.306,-0.0010000000000000009,"3.64","3.91","-0.266"
"Quintana, Jose","500779","2024","717","508",0.237,0.257,-0.020000000000000018,0.396,0.406,-0.010000000000000009,0.312,0.327,-0.015000000000000013,"3.75","4.52","-0.769"
"Fried, Max","608331","2024","714","483",0.226,0.245,-0.01899999999999999,0.315,0.358,-0.04299999999999998,0.273,0.299,-0.025999999999999968,"3.25","3.72","-0.468"
"Rea, Colin","607067","2024","714","526",0.258,0.272,-0.014000000000000012,0.447,0.452,-0.0050000000000000044,0.327,0.339,-0.01200000000000001,"4.29","4.91","-0.616"
"Brown, Hunter","686613","2024","712","468",0.242,0.225,0.016999999999999987,0.357,0.333,0.023999999999999966,0.296,0.283,0.013000000000000012,"3.49","3.31","0.184"
"Bibee, Tanner","676440","2024","710","471",0.23,0.237,-0.0069999999999999785,0.406,0.393,0.013000000000000012,0.299,0.3,-0.0010000000000000009,"3.47","3.75","-0.278"
"Cortes, Nestor","641482","2024","710","505",0.245,0.235,0.010000000000000009,0.421,0.396,0.024999999999999967,0.307,0.295,0.01200000000000001,"3.77","3.62","0.149"
"Ober, Bailey","641927","2024","709","469",0.208,0.209,-0.0010000000000000009,0.391,0.371,0.020000000000000018,0.282,0.279,0.002999999999999947,"3.98","3.22","0.759"
"Flexen, Chris","623167","2024","707","519",0.283,0.258,0.024999999999999967,0.476,0.437,0.03899999999999998,0.355,0.333,0.021999999999999964,"4.95","4.71","0.24"
"Miller, Bryce","682243","2024","704","485",0.2,0.229,-0.028999999999999998,0.338,0.405,-0.067,0.26,0.299,-0.03899999999999998,"2.94","3.72","-0.775"
"Valdez, Framber","664285","2024","703","473",0.221,0.233,-0.01200000000000001,0.323,0.34,-0.017000000000000015,0.272,0.287,-0.014999999999999958,"2.91","3.41","-0.501"
"Sale, Chris","519242","2024","702","430",0.216,0.213,0.0030000000000000027,0.319,0.317,0.0020000000000000018,0.26,0.261,-0.0010000000000000009,"2.38","2.80","-0.419"
"Bello, Brayan","678394","2024","702","474",0.252,0.256,-0.0040000000000000036,0.394,0.4,-0.006000000000000005,0.319,0.328,-0.009000000000000008,"4.49","4.56","-0.069"
"Morton, Charlie","450203","2024","701","451",0.251,0.243,0.008000000000000007,0.427,0.401,0.025999999999999968,0.335,0.326,0.009000000000000008,"4.19","4.49","-0.298"
"Gomber, Austin","596295","2024","696","541",0.273,0.278,-0.0050000000000000044,0.482,0.482,0,0.339,0.344,-0.004999999999999949,"4.75","5.07","-0.325"
"Eovaldi, Nathan","543135","2024","696","481",0.229,0.246,-0.016999999999999987,0.386,0.391,-0.0050000000000000044,0.291,0.306,-0.015000000000000013,"3.80","3.91","-0.113"
"Imanaga, Shota","684007","2024","694","489",0.225,0.234,-0.009000000000000008,0.385,0.39,-0.0050000000000000044,0.279,0.286,-0.006999999999999951,"2.91","3.39","-0.482"
"Heaney, Andrew","571760","2024","693","481",0.251,0.253,-0.0020000000000000018,0.41,0.433,-0.02300000000000002,0.312,0.325,-0.013000000000000012,"4.28","4.46","-0.185"
"Feltner, Ryan","663372","2024","692","495",0.263,0.255,0.008000000000000007,0.408,0.41,-0.0020000000000000018,0.32,0.32,0,"4.49","4.31","0.181"
"Civale, Aaron","650644","2024","689","482",0.252,0.243,0.009000000000000008,0.44,0.393,0.046999999999999986,0.327,0.309,0.018000000000000016,"4.36","4.00","0.36"
"Wacha, Michael","608379","2024","685","489",0.246,0.252,-0.006000000000000005,0.387,0.405,-0.018000000000000016,0.3,0.311,-0.01100000000000001,"3.35","4.05","-0.702"
"Eflin, Zach","621107","2024","684","523",0.254,0.249,0.0050000000000000044,0.404,0.405,-0.0010000000000000009,0.297,0.297,0,"3.59","3.67","-0.077"
"Blanco, Ronel","669854","2024","676","439",0.19,0.226,-0.036000000000000004,0.354,0.391,-0.03700000000000003,0.276,0.309,-0.032999999999999974,"2.80","4.00","-1.203"
"Stroman, Marcus","573186","2024","675","493",0.277,0.271,0.006000000000000005,0.431,0.43,0.0010000000000000009,0.341,0.34,0.0010000000000000009,"4.31","4.94","-0.634"
"Taillon, Jameson","592791","2024","675","515",0.243,0.256,-0.013000000000000012,0.387,0.419,-0.03199999999999997,0.289,0.311,-0.02200000000000002,"3.27","4.05","-0.784"
"Gray, Sonny","543243","2024","671","425",0.228,0.237,-0.00899999999999998,0.401,0.394,0.007000000000000006,0.292,0.296,-0.0040000000000000036,"3.84","3.64","0.202"
"Littell, Zack","641793","2024","656","478",0.265,0.263,0.0020000000000000018,0.426,0.436,-0.010000000000000009,0.317,0.321,-0.0040000000000000036,"3.63","4.34","-0.713"
"Quantrill, Cal","615698","2024","656","466",0.273,0.273,0,0.461,0.434,0.027000000000000024,0.358,0.351,0.007000000000000006,"4.97","5.31","-0.335"
"Montas, Frankie","593423","2024","655","434",0.243,0.247,-0.0040000000000000036,0.42,0.428,-0.008000000000000007,0.325,0.333,-0.008000000000000007,"4.84","4.71","0.128"
"Spence, Mitch","687765","2024","651","475",0.276,0.251,0.025000000000000022,0.455,0.408,0.04700000000000004,0.34,0.314,0.026000000000000023,"4.58","4.14","0.439"
"Flaherty, Jack","656427","2024","649","413",0.223,0.233,-0.010000000000000009,0.388,0.38,0.008000000000000007,0.288,0.292,-0.0040000000000000036,"3.17","3.54","-0.373"
