"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Webb, Logan","657277","2025","856","579",0.264,0.256,0.008000000000000007,0.386,0.396,-0.010000000000000009,0.303,0.304,-0.0010000000000000009,"3.22","3.62","-0.403"
"Crochet, Garrett","676979","2025","814","509",0.217,0.218,-0.0010000000000000009,0.353,0.361,-0.008000000000000007,0.27,0.275,-0.0050000000000000044,"2.59","2.93","-0.344"
"Gallen, Zac","668678","2025","813","568",0.239,0.254,-0.015000000000000013,0.426,0.453,-0.027000000000000024,0.315,0.332,-0.017000000000000015,"4.83","4.39","0.438"
"Sánchez, Cristopher","650911","2025","807","545",0.227,0.232,-0.0050000000000000044,0.321,0.352,-0.030999999999999972,0.264,0.279,-0.015000000000000013,"2.50","3.02","-0.525"
"Valdez, Framber","664285","2025","802","540",0.238,0.249,-0.01100000000000001,0.358,0.38,-0.02200000000000002,0.295,0.31,-0.015000000000000013,"3.66","3.77","-0.114"
"Fried, Max","608331","2025","801","551",0.223,0.241,-0.017999999999999988,0.334,0.371,-0.03699999999999998,0.272,0.295,-0.022999999999999965,"2.86","3.39","-0.533"
"Rodón, Carlos","607074","2025","789","504",0.188,0.215,-0.026999999999999996,0.321,0.359,-0.03799999999999998,0.266,0.292,-0.025999999999999968,"3.09","3.32","-0.233"
"Irvin, Jake","663623","2025","787","595",0.272,0.285,-0.012999999999999956,0.492,0.525,-0.03300000000000003,0.355,0.372,-0.017000000000000015,"5.70","5.71","-0.01"
"Gausman, Kevin","592332","2025","775","531",0.216,0.246,-0.03,0.358,0.414,-0.055999999999999994,0.273,0.307,-0.033999999999999975,"3.59","3.69","-0.099"
"Kikuchi, Yusei","579328","2025","772","521",0.261,0.26,0.0010000000000000009,0.419,0.442,-0.02300000000000002,0.327,0.337,-0.010000000000000009,"3.99","4.54","-0.553"
"Pfaadt, Brandon","694297","2025","767","570",0.279,0.298,-0.01899999999999996,0.469,0.513,-0.04400000000000004,0.339,0.365,-0.025999999999999968,"5.25","5.46","-0.213"
"Bibee, Tanner","676440","2025","762","536",0.246,0.235,0.01100000000000001,0.412,0.399,0.012999999999999956,0.313,0.305,0.008000000000000007,"4.25","3.64","0.605"
"Littell, Zack","641793","2025","759","587",0.244,0.267,-0.02300000000000002,0.445,0.477,-0.03199999999999997,0.311,0.335,-0.02400000000000002,"3.81","4.48","-0.671"
"Luzardo, Jesús","666200","2025","758","482",0.24,0.235,0.0050000000000000044,0.356,0.365,-0.009000000000000008,0.29,0.292,-0.0020000000000000018,"3.92","3.32","0.6"
"Ray, Robbie","592662","2025","755","492",0.221,0.229,-0.008000000000000007,0.383,0.396,-0.013000000000000012,0.299,0.308,-0.009000000000000008,"3.65","3.72","-0.067"
"Gray, Sonny","543243","2025","753","508",0.262,0.259,0.0030000000000000027,0.424,0.429,-0.0050000000000000044,0.314,0.314,0,"4.28","3.88","0.404"
"Keller, Mitch","656605","2025","749","537",0.249,0.268,-0.019000000000000017,0.405,0.436,-0.030999999999999972,0.313,0.332,-0.019000000000000017,"4.18","4.39","-0.205"
