Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
1,1,"Gunnar Henderson","BAL","3B","MLB",2022,"65","Med",,"21.2555555","6' 2""","210","L","R",2019,"Draft","BAL",2300000,"Morgan Academy HS (AL)","Henderson was still 19 when the Orioles assigned him to Low-A Delmarva to start the 2021 season. He hit the ground running there, slashing an incredible .313/.391/.613 and moving into the top 100. Then the strikeouts started to pile up, and he K'd in roughly 35% of his plate appearances over the rest of the season. Henderson is best when he can drop the bat head to impact pitches at the bottom of the zone. He's shown glimpses of flattening his path to hit pitches at the top of the strike zone, though not as consistently, and making adjustments in this area was part of Henderson's focus at the Orioles fall camp. The further up and away from Henderson a pitch is, the more likely he is to hit it to the opposite field. It's exciting that he has the power to do damage that way, but his inability to turn on some of these pitches may be an indication he'll struggle with rise-and-run fastballs of big league velocity. Henderson's power, ball/strike recognition (which took a leap into a new stratosphere in 2022), and what we project will be plus third base defense still present a skill set befitting an average everyday player, even if he ends up with a 40 bat. Any indication of potential swing-and-miss issues here are new. Henderson raked as a high schooler against both varsity pitching in the Southeast and on the showcase circuit, and was seen as among the more advanced 2019 prep hitters, a good bet to move though the minors faster than the other hitters from his draft class (which he has). There's plenty of time for some of this stuff to get polished up and while it increases Henderson's perceived variance, our view of his ceiling hasn't changed. He's just going to have to walk an unexpected path to get there.",,"26289"
2,1,"Eury Pérez","MIA","SP","MLB",2024,"65","High",,"19.4611111","6' 9""","220","R","R",2019,"J2","MIA",200000,"Dominican Republic","After he made just five starts at High-A toward the end of his breakout 2021 campaign, this season the Marlins sent the 6-foot-9, 19-year-old Pérez to Double-A Pensacola, where he has been a buzzsaw. Over the last year, Pérez has added about 30 pounds, experienced a two-tick fastball velocity bump, and incorporated a second, harder breaking ball that has become his primary non-fastball weapon. After sitting 94-95 mph in 2021 (Pérez was a 50 FV prospect ranked 67th in the offseason), he’s now parked in the 96-98 mph range for entire starts, and his hardest sliders (in the 85-87 mph range) are nearly 10 mph harder than his average curveball was in 2021 (77 mph). While he’s been uniformly dominant in the minors, Pérez’s stuff has now hit a different gear.
Even more precocious than Pérez’s velocity is his fastball command, which is absurd for a 19-year-old, let alone one who throws this hard and is also this size. He shows bend and balance in his lower half as he propels himself way down the mound and releases on the doorstep of the batter’s box, making hitters extremely uncomfortable. Though he doesn't throw the pitch a ton, his changeup feel is also very good, and currently more consistent than his feel for his new slider, though I expect that will come. Pérez’s fastball shape operates to the east and west of the zone. His heater is only generating about a 14% swinging strike rate, per Synergy Sports, which is above the big league average but not elite. There are still some things to work on here, but Pérez is younger now than Trevor Rogers was on the day he was drafted, and the fact that Pérez has made relevant adjustments this year and continues to dominate while implementing them is remarkable.
Within the last few weeks, scouts who have seen Pérez (one who I happened to be at a game with, as well as a newer source of mine) have said they can make the argument that he’s the best pitching prospect in baseball right now because the other few in that discussion (for me, Grayson Rodriguez, who had a strained lat; Shane Baz, who had arthroscopic surgery from which he recently returned, arm strength intact before blowing out and needing TJ; and Daniel Espino, currently in a pretty long layoff for a knee and shoulder issue) have all been hurt recently.",,"27768"
3,1,"Gabriel Moreno","TOR","C","MLB",2022,"60","Med",,"22.6305555","5' 11""","210","R","R",2016,"J2","TOR",25000,"Venezuela","As much as any prospect could break out during the dark 2020 minor league season, Moreno broke out. He was fairly well-regarded coming out of 2019, then was seen on alternate site video, during instructs, and later in the Venezuelan Winter League, where he hit .373/.471/.508. The length of his year was as close as any catching prospect came to replicating a full season behind the dish in 2020, and there was already enough buzz at that point for us to include Moreno on last year's Top 100. Then 2021 began and Moreno started on an epic tear, slugging .650 at Double-A New Hampshire before missing a couple of months with a fractured thumb. He ended up playing in just shy of 40 regular season games, then picked up reps during the Arizona Fall and Venezuelan Winter Leagues. 
The visual evaluation of Moreno's power does not support the idea that he can slug .500, his career mark. One could argue that's because he was most widely seen coming off a hand injury that might dilute his power, but his batted ball data from before the injury also indicates his Double-A output was inflated. You can't fake an 11% strikeout rate, though, which is Moreno's career mark. While he's an aggressive hitter who sometimes takes fundamentally unsound swings, he has 70-grade bat control and tends to find a way to poke, spray, and slash contact all over the field. He can square high-end velocity, and though his overall hit tool grade projects below his raw barrel control due to his flawed approach, there's enough offense to make him an All-Star offensive performer at catcher. He also has rare speed for the position and has an overall skill set like that of a less-toolsy Jason Kendall. Defensively, Moreno catches on one knee until there are runners on or there are two strikes, then sets up in a very wide crouch as if he's always preparing to block a breaking ball in the dirt. He'll sometimes finish on one knee in an effort to frame a pitch on the edge, even if he didn't start there. He popped in the 1.95-1.98 range during Fall League, a slightly above-average range of times for throws down to second base.","kZMLKOcWFe4","22664"
4,1,"Corbin Carroll","ARI","LF","MLB",2022,"60","Med",,"22.1111111","5' 10""","165","L","L",2019,"Draft","ARI",3745500,"Lakeside HS (WA)","Carroll's 2020 Instructional League and '21 spring performance continued to fortify the notion that he is among the most skilled and advanced youngsters in all of the minor leagues, a dangerous, prototypical leadoff hitter. But just seven games into his 2021 regular season, he sustained a posterior capsular avulsion fracture (this is when a small part of one's shoulder tears away from the bone, often taking a piece of the bone with it) and a labrum tear during a swing on which he homered. He spent most of the rest of the year in Arizona, often sitting in the scout section for big league games, where he was seen wearing a brace/sling for many weeks after his surgery. Though his injury occurred in a similar manner (trauma resulting from Carroll being more explosive than his shoulder could handle), it isn't the same as Fernando Tatis Jr.'s shoulder subluxation, from which Tatis was able to return quickly and remain productive. Because it's not a common injury and thus isn't one with which the industry has a long history of treatment experience, there's risk that Carroll's shoulder woes have a lasting impact on some part of his skill set. 
But as a talent, Carroll is relatively safe, a blend of physical gifts and heady baseball acumen. His at-bats have a big league veteran quality, and while he's not likely to hit for significant over-the-fence power (mostly due to his approach rather than a lack of strength), Carroll whistles balls into the gaps and down both baselines, then kicks it into top gear very quickly and punishes outfielders slow to corral the ball by turning their lackadaisical fielding into extra bases. So exceptional is Carroll's hand-eye coordination and barrel accuracy, especially for his age, that he now has among the best hit tool projections in the minors. It's a skillset very similar to Brett Gardner's, except Carroll can play center field. There are players this age with a higher ceiling because of their potential power production, but Carroll is a very high-floor prospect who we expect will produce at an All-Star level for much of his career assuming a return to full strength.","sUghxoNDJ4g","25878"
5,1,"Jackson Chourio","MIL","CF","MLB",2025,"60","High",1,"18.5555555","6' 1""","165","R","R",2021,"J2","MIL",1900000,"Venezuela","Chourio was one of the more electric Brewers prospects during 2021 extended spring training, but he's still so young that he was sent back to the DSL for the summer (Milwaukee had no instructs, so this evaluation is still from the Extended look). Signed as a shortstop, Chourio has begun to transition to center field due to a lack of infield arm utility. His speed could make him an impact defender out there, and also gives him a traditional leadoff hitter's toolset at present. He has precocious power for a 17-year-old that mostly manifests as doubles and triples right now, but he's so young and athletic that more power is very likely to come. Chourio's a bit of a bucket strider right now, but he has feel for moving the barrel around the zone. He can turn on pitches down and in and drive pitches up and away from him to right field. He's an exciting collection of tools, youth, and athleticism who we underrated while he was an amateur.",,"28806"
6,1,"Elly De La Cruz","CIN","SS","MLB",2024,"60","High",1,"20.7222222","6' 5""","200","S","R",2018,"J2","CIN",65000,"Dominican Republic","De La Cruz has the most exciting combination of tools and defensive fit in the minors, a switch-hitter with plus-plus power, speed, arm strength, and all-around athleticism, as well as a more consistent look at shortstop than he had a year ago, even at 6-foot-5. He followed up his splashy 2021 with a 2022 tidal wave, reaching Double-A Chattanooga as a 20-year-old while tabulating over 70 extra-base hits and about 40 stolen bases. He sports ridiculous all-fields power from the left side of the plate, floats from base to base with huge, graceful strides and can clock home-to-first times close to 4.00 seconds, and still has room for much, much more mass on his frame before it  detracts from his mobility enough to push him off shortstop. While he could stand to be a little more consistent, the range, bend, hands, and arm strength to play shortstop are all comfortably here, and if he does that while getting to most of his power then he'll be one of the better players in baseball, it's just that De La Cruz has struck out a concerning 30% of the time. Even at shortstop, there isn't a full-time player in the big leagues who punches out quite that often. The closest contemporary statistical predecessors and tool-based comps to make for De La Cruz are Willy Adames (a 29% K% hitter who has perfomed like a 60 because he gets to his power and plays great defense) and Fernando Tatis Jr. (27.6% K%). Elly's tools are big enough to stand with those guys, but if he's K'ing at a 30% clip at Double-A, it's likely he'll do so more often against big league pitching, which puts him in a dangerous area. His strikeout problems stem from poor breaking ball and offspeed recognition, as he does a fair bit of chasing those (about a 40% rate against sliders and curveballs at Double-A) while also swinging through lots of them in the zone (75% Z-Contact% versus non-fastballs). His overall chase rates remain a little worse than average (31% at Double-A, per Synergy) but they're not terrifying. There are plenty of good players on the big league O-Swing% leaderboard, including many young stars, but these issues together create hit tool-related bust risk for Elly. Obviously he's ranked here as if he's set to become a star player anyway. Slated to be added to the Reds 40-man roster this offseason, De La Cruz is on pace for regular big lague playing time in 2024.","S9LlAJHlow","26668"
7,2,"Grayson Rodriguez","BAL","SP","MLB",2023,"60","High",,"22.875","6' 5""","220","L","R",2018,"Draft","BAL",4300000,"Central Heights HS (TX)","The 11th overall pick in 2018 out of a Texas high school, Rodriguez saw his stuff tick up immediately after turning pro. He experienced another jump during his time at the alternate site in 2020 before somehow finding another gear last season, turning in a dominant performance in the minors that saw him post nearly three times as many strikeouts as hits allowed. It's hard to argue for anyone other than Rodriguez being the best pitching prospect in baseball, and no one can match his pure stuff in terms of both the depth and quality of his arsenal. His fastball now sits 96-98 mph and has scraped triple digits on multiple occasions, and he’s added a low-90s cutter that has come along quickly and already grades as plus. As good as the velocity and movement on his fastball are, his secondary offerings are even better, as his two power breaking balls have both earned 70 grades from some scouts thanks to the big sweep and bite on his low 80s slider and the hard downward action on a curveball with similar velocity. His low-80s change gives him a fifth plus or better option and features big velocity separation to go along with plenty of fading action. He has a starter’s frame and has cleaned up many of the flaws in his delivery, with an awkward finish that ends with him nearly turned away from hitters the only nit to pick. Those changes keyed a transformation from a pitcher with a control-over-command reputation to one who can better locate all of his pitches in the zone. It sounds almost too good to be true, but there's very little not to love in terms of Rodriguez's present ability or future potential. Rodriguez will likely make his big league debut in 2022 and has the potential to be a No. 1 starter and Cy Young candidate.","XVnKhGydp9Y","24492"
8,1,"Jordan Walker","STL","RF","MLB",2023,"60","High",,"20.3583333","6' 5""","220","R","R",2020,"Draft","STL",2900000,"Decatur HS (GA)","Walker worked out as a pitcher, shortstop, and third baseman in high school, then had a rough draft spring amid some weight gain, which is part of why he fell deep into the first round. To say he looks like a steal is at this point a drastic understatement, as he is one of the most exciting young hitters in the minors, with elite power potential and superlative on-paper performance at Double-A throughout 2022 while he was still not old enough to have a beer. Any discussion of Walker begins with his exit velocities, which are nearly unheard of for a player this young. He has a simple, well-leveraged swing that takes advantage of his strength, and the long levers that come with his 6-foot-5, 220 pound frame produce jaw-dropping home runs when he really squares one up. His approach is solid, though there are some issues chasing breaking balls, and his in-zone swing-and-miss was a fair bit below average in 2022 (he swings inside a lot of sliders), but we're talking about a 20-year-old at Double-A here. If you're looking for the prospect most likely to hit 40 home runs in a season down the line, this is your player. Walker's gigantic frame at his age makes it likely that he'd eventually outgrow third base. For now, his ability to bend and get deep into his legs, as well as his lateral agility and range, is pretty amazing for a player his size. He will reach back and show you a plus arm when he needs to. Of course, Nolan Arenado's presence through 2027 dictates a move regardless of how Walker looks over there. His 40-man timeline presents the Cardinals with a likely seamless transition from MVP candidate Paul Goldschmidt to Walker if they so choose, with Walker possibly DH'ing most days during Goldy's contract year. Late in 2022 the Cardinals started giving Walker reps in the outfield, mostly in right, and he looked fine out there. Even if he plays nothing but first base from the jump, Walker will still produce enough power to be a consistent 3 WAR All-Star, and there's superlative thump here even at that position.",,"27475"
9,1,"James Wood","WSN","CF","MLB",2026,"60","High",1,"20.0388888","6' 7""","240","L","L",2021,"Draft","SDP",2600000,"IMG Academy","Wood was a divisive amateur prospect, with some scouts seeing him as a center field prospect with 70 raw power projection and others seeing him as an eventual first baseman with hit tool risk. So far in pro ball, Wood has been incredible. After initially showing feel for opposite-field-only contact on the complex, he began to turn on balls more frequently this spring and has been hitting line drive lasers to all fields, with his peak exit velocity topping out at 112 mph off the bat. That's a plus metric for a big leaguer and is ridiculous for a 19-year-old who hasn't totally grown into his body. Even though Wood is so big, he has feel for tucking his hands in and getting the barrel to pitches on the inner half of the plate (he sometimes struggles to cover the outer third), often staying inside them and driving them to the opposite gap. While there's definitely some swing-and-miss risk here, it's more due to pitch recognition than Wood's lever length, which is extraordinary for a prospect his size. Wood has a real chance to both hit and hit for power, and while his swing isn't geared for consistent lift at this point, he has the raw strength to do damage anyway; this might be an ""if it ain't broke"" situation that doesn't merit proactive mechanical intervention. 
It's tough to gauge where Wood's eventual defensive home will be. He takes a little while to get his legs churning but once he's moving, he's a plus runner and has generated some home-to-first times in the neighborhood of 4.1-4.2 seconds. His huge strides enable him to cover a ton of ground in center field and he is a not only a viable defender out there right now, but he looks like a future plus glove. Still, this is a 6-foot-7, 240-pound teenager who might add weight commensurate with his frame as he matures, and the way that shakes out will have a significant impact on his defensive future. That said, Wood is already defying convention by looking as good as he does out there at his current size. The broad strokes of this report read a lot like that of Adam Dunn at the same age: a XXL frame with unusual top end speed and athleticism for his size and a chance to fill out in a way that causes him to tumble down the defensive spectrum, but with enough power to support such a fall. If we're using the performance of other tooled-up teenagers in full-season ball as a barometer for where Wood fits on the overall prospect continuum, he belongs within the Top 100.",,"29518"
10,1,"Anthony Volpe","NYY","2B","MLB",2024,"60","Med",1,"21.425","5' 11""","180","R","R",2019,"Draft","NYY",2740300,"Delbarton HS (NJ)","The 30th overall pick in 2019, Volpe had a uninspiring professional debut but transformed himself during the lost pandemic season and returned in '21 with one of the best performances in all of the minor leagues, slugging .604 across two levels and not missing a beat after earning a mid-season promotion from Low- to High-A. Working with a private instructor on a daily basis during the pandemic, Volpe completely re-engineered his swing, which is now exceptionally compact and uncomplicated, while also focusing on a bat path that leads to line drives and more balls in the air. He complemented that work with a training regimen that added 15-20 pounds of muscle without sacrificing anything in the way of athleticism. 
Volpe has a solid approach and a potential plus bat with feel for contact and plenty of plate coverage. Despite the gaudy home runs totals, his power falls more in the plus category than being anything monstrous, though some evaluators think he could hit between .280 and .300 with 20-25 home runs a year if everything comes together. And while he stole 33 bases in 2021, he’s more of a solid runner than a burner; his totals do speak to his baseball instincts, however, which are well beyond his years in every aspect of his game. Volpe has also impressed defensively. He’s not a special fielder, and his arm is merely average, but he projects as good enough to stay at shortstop and reach the big leagues as an average defender at one of baseball’s hardest positions. He doesn't turn 21 until the end of April, but Volpe should start the year at Double-A Somerset, and while a 2022 big league debut is unlikely, it’s not out of the question.","EpQrKumdH-A","27647"
