Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
1,1,"Konnor Griffin","PIT","SS","AA",2028,"65","High",1,"19.4361111","6' 4""","225","R","R",2024,"Draft","PIT",6530000,"Jackson Prep (MS)","Griffin went wire-to-wire as one of the most talented high school players from the 2024 draft class during that group's two-plus year scouting window, a turbocharged power/speed prospect with potential contact issues and an unclear defensive fit. His physical tools were still so loud that he was a top pick anyway, going ninth overall. Those blemishes and uncertainties kept Griffin's pre-draft grade beneath the Top 100 prospect threshold, but the early returns in 2025 have been very positive, as Griffin looks good during his first extended run in center field and his potentially problematic swing has already been changed. 
Griffin was the shortstop for his 6A State Champion high school team in Mississippi but was a little too stiff to play there on the showcase circuit. He mostly played right field with Team USA and at select events because his feel for the outfield wasn't as polished as his more experienced peers, who were more seaworthy in center field. But Griffin absolutely has the wheels to not only play center, but to potentially be really good out there, and his 2025 spring look has been very encouraging. Griffin has made some great plays out there, which is even more amazing when you consider that he didn't play affiliated ball after last year's draft and has just been thrown into the deep end of the pool during big league spring training. The speed with which Griffin can go zero to 60 at his size is incredible. He takes huge, powerful strides and motors around the field with a rooster tail of dirt kicking up from his spikes. His center field reads and routes should improve as he gets more reps, which he has only just begun to receive.
From a data standpoint, Griffin's bat-to-ball track record was very good on the showcase circuit (86% contact rate in 2023 in a 250-pitch sample), but his long levers often made him late on fastballs. Similar to high school Druw Jones, Griffin's bat path really didn't allow him to pull the ball, and players who struggle with this in amateur ball tend to do so to an even greater degree in pro ball when opposing velocity cranks up. The (potentially) good news here is that Griffin has already changed his swing. His open stance is gone, and when he loads his hands, the angle of his barrel is no longer pointed back toward the pitcher at such an aggressive angle. It's too early to tell what the overall impact of these changes will be, but this is a more compact swing than Griffin's high school model. The fact that he's been able to take a brand new swing into big league spring training games and hold his own is very exciting. With the ""center field defense"" box looking like it's going to be checked, there's room for Griffin to have some contact hiccups and still be an impact player so long as he's getting to power and wreaking havoc with his speed. He slides into the Top 100 next to Arjun Nimmala, who has also made some early-career swing adjustments in an effort to mitigate his hit tool risk.",,"sa3065496"
2,1,"Jesús Made","MIL","SS","AA",2028,"65","Med",1,"18.3972222","6' 1""","170","S","R",2024,"Intl15","MIL",950000,"Dominican Republic","Made torched the 2024 DSL with one of the league's more cartoonish all-time statlines: .331/.458/.554 with 21 extra-base hits in 51 games. His underlying TrackMan data was even more absurd — 90% in-zone contact, 89% overall contact, 15% chase, 108 mph max exit velo, 104 mph EV90, 47% hard-hit rate — especially when you consider Made's age. Some of these marks are comfortably two standard deviations above the big league average. They were, of course, tough to contextualize given the nature of DSL pitching, but for the most part, Made's visual scouting report backed up the notion that he's a very talented young hitter. At the start of 2025, Made ranked as the 38th best prospect in baseball, the second-highest ranking ever at FanGraphs for an international signee who hadn't yet played in the U.S. (Luis Robert Jr., who was slightly older, ranked 21st overall in 2018 after playing in the 2017 DSL). Made turned 18 a few days before list publication, and in just a couple months of stateside pro ball, he has already done enough to move up, as he's hitting for big power despite a very aggressive assignment to full season ball.
This is an incredibly talented hitter with eruptive bat speed. The verve and explosion with which Made's body whips around like the head of an owl throughout his swing is not normal, and what's nuttier is that he's capable of it from both sides of the plate. He can impact the baseball with lift in most of the zone (including when he's crowded around his hands), and his swing has a gorgeous finish. Made has been whiffing (especially against pitches in the zone) much more than was anticipated, but to expect a switch-hitter this young to be fully operational from both sides of the dish at this stage would be ridiculous. Plus, even if these issues persist (with tardiness against fastballs, mostly), Made is hitting the ball hard enough and consistently enough to end up with a functionally above-average hit tool despite a below-average contact rate. He isn't doing it with regularity right now (especially from the left side), but Made shows flashes of being able to cover the top of the strike zone, and he has the power to do oppo damage when he's on time enough to make contact. Additionally, early indications are that Made has premium plate discipline. Not merely average or plus plate discipline, but elite, value-adding feel for the zone. His chase rate is under 20% as of list publication, including with two strikes, when hitters tend to expand. 
If Made were a domestic high school prospect, we'd absolutely be talking about him as the likely top overall pick in this year's draft. He isn't an especially big-framed prospect — this is not a Tatis/Seager/Correa-sized player with the truly elite raw power projection — so if he's is going to have plus-plus raw at maturity, it'll be because he's grew into enormous strength akin to Ketel Marte, a player whose skill set is a fair comp for Made's. That comp extends to the defensive side, where Made is a high-variance dev project. He has the athleticism and pure arm strength to play a good shortstop, and he's capable of making flashy, acrobatic plays to his right. But right now, he's also prone to clunky flubs and errant throws. Especially of late, he's struggled to field the baseball cleanly. We're in such early stages of his development that it's unclear whether this is an issue of talent or a question of polish. Made's ability to make some really slick plays gives us optimism that it's the latter, but this isn't a settled question. Though he has some clear areas of developmental need, Made is among the most exciting handful of prospects in baseball. He has superstar ability and ceiling, with a modest (but extant) amount of hit tool risk that will matter more if his hands on defense are actually so bad that he eventually has to move off the dirt. If you live near a Carolina League affiliate, or really any Brewers affiliate, this is a guy you should go see while he's in the minors so that a decade from now you can say you did.","rOTUFJ9eZbs","sa3024108"
3,1,"Kevin McGonigle","DET","2B","AA",2026,"60","Low",,"21.1194444","5' 10""","187","L","R",2023,"Draft","DET",2850000,"Monsignor Bonner HS (PA)","Ranked 19th on the 2023 Draft Board, McGonigle was arguably the high school player from that class with the highest floor because of his middle infield fit and contact ability. McGonigle's stocky build capped his power projection and, theoretically, his ceiling, but his early-career contact performance has been special enough that he might become an impact player, even with modest raw pop. 
McGonigle missed the beginning of the 2024 season due to a hamstring injury and the end of it due to a broken hamate. In between (60 games at Low-A Lakeland and 14 at High-A West Michigan), he slashed a fantastic .309/.401/.452 with more walks than strikeouts and 22 stolen in 24 attempts. His more granular data, albeit in a relatively small sample, was sensational, as McGonigle posted an 88% contact rate and 41% hard-hit rate. There aren't any big league hitters with marks that high in both categories, which, though impressive, is also an indication it's probably not sustainable. Regardless, McGonigle's short levers and terrific barrel feel, especially at the top of the strike zone, is real. He's incredibly hard to beat, even when he expands the zone (which he does much more often with two strikes). McGonigle's hard-hit rate comes more from contact consistency than big raw power. He has below-average raw and, at a maxed-out 5-foot-10, is unlikely to grow into a ton more. But his early count selectivity, and his ability to impact the ball with lift at the top of the zone, should still allow him to get to an okay amount of power for a shortstop. 
McGonigle's hands weren't as crisp in 2024 as usual, but he still has enough arm for short, a well-calibrated internal clock, and great actions around the bag. He's a low-variance everyday middle infielder tracking for a late-2027 debut.",,"sa3022895"
4,1,"Samuel Basallo","BAL","C","MLB",2026,"60","High",,"21.1333333","6' 3""","230","L","R",2021,"Intl15","BAL",1300000,"Dominican Republic","Basallo is a power-hitting kaiju catching prospect who looks like a gear-wearing Rafael Devers. His swing looks a lot like Devers', and he too has plus-plus power projection, a penchant for expanding the zone, plus arm strength, and some profound defensive flaws. Basallo became one of baseball's best prospects in 2023, when the then-18 year-old hit .313/.402/.551 with 53 extra-base hits in 114 games and smooched Double-A. A stress fracture in Basallo's right elbow, which was discovered just before 2024 spring training, kept him from catching until May and limited his action behind the dish throughout the entire season. He caught in just 56 games and donned the tools of ignorance on consecutive days only eight times, splitting his remaining games nearly equally between first base and DH. He hit .289/.355/.465 as a 19-year-old at Double-A Bowie, then was called up to Norfolk for the final month of play. Basallo broke 2025 camp at Norfolk as the youngest player at Triple-A, but he is dealing with elbow inflammation again this spring and won't catch to start the season.
The elbow issue may have had a temporary impact on Basallo's game last year, especially his throwing, which was a plus-plus attribute in 2023 but was more above-average in 2024. Basallo was popping closer to 1.95 on average rather than being in the 1.8s like he was in 2023, and his footwork remains kind of sloppy and immature. As is true of a lot of catchers his age (let alone his size), Basallo could stand to be more accurate and consistent coming out of his crouch, but he easily has the raw arm strength to catch, and if his peak form returns, he's just some technical polish away from being a run-stopping weapon. His receiving isn't good yet, but it isn't so terrible that it damns Basallo permanently to first base. His ball blocking might, though. It's this area of Basallo's game that most needs to improve, especially when it comes to backhanding balls in the dirt. His size and mobility (especially when he's moving to his left) are impressive, and commensurate with the traits of a primary catcher, but if Basallo were promoted tomorrow, he'd probably be a ball-blocking liability. 
Though his offensive numbers have been incredible (he's a career .285/.363/.479 hitter and has always been young for his level), Basallo has some growing to do at the plate as well. He's very chase-prone, including much more often against fastballs than is typical, but Basallo already has ridiculous left-handed power at age 20 and is going to grow into more. Ludicrously listed at just 180 pounds (c'mon, Orioles), he's actually more like 240 and is built like a sophomore edge rusher. Basallo is an unbelievably explosive rotator for an athlete his size, and his peak exit velocities are already one or two standard deviations better than the big league average, depending on the metric. The players who make a huge big league impact despite elevated chase and a contact rate hovering around 70% (like Basallo's) all have this kind of power, hitters like Salvador Perez, Teoscar Hernández, and Bryce Harper. Basallo's power is absolutely going to be at the level of those guys and other sub-70% contact sluggers, and if he can refine his approach as he matures, he's going to become one of the best hitting catchers in baseball in his prime.
Basallo's chalk 40-man platform year is 2025. He's been promoted ahead of that pace so far, but it's pretty rare for catchers with his particular issues to be in the express lane to the big leagues. If the Orioles just want access to Basallo's bat and decide to fast track him as a DH, or proactively move him to first base knowing Adley Rutschman is in place as the franchise catcher for a while, then a late 2025 debut feels possible. If the Orioles want to give Basallo the best chance of having immediate success as a big league catcher, then he's more likely on a late 2026 or spring 2027 trajectory. There are few other prospects in the minors who have this kind of offensive ceiling and a chance to play a premium position.","A1JJN7Mhm2s","28824"
5,2,"Bubba Chandler","PIT","SP","MLB",2025,"60","High",,"23.0472222","6' 2""","200","S","R",2021,"Draft","PIT",3000000,"North Oconee HS","Chandler was a two-sport, two-way high schooler who could have gone to Clemson for baseball and football. Instead, he signed for $3 million as the first pick in the 2021 third round and was developed as a two-way player for parts of two seasons before focusing on pitching beginning in 2023. Things have gone very well. Across the last two seasons, Chander has worked at least 110 innings and struck out a little more than a batter per frame, with his walk rate trending down to a little better than the big league average as he climbed to Triple-A last August. He was still sitting 95-98 at the very end of the season, even as he set a career-high mark for innings, and he has been in the 96-99 mph range during the spring of 2025. 
Chandler's fastball is his best pitch. He hammers the top of the zone with it, and it generated plus chase and miss in 2024. His 86-90 mph changeup has progressed very quickly. It can sometimes sail on him, but it has plus tailing action that misses bats when Bubba keeps it down in the zone, and it can occasionally steal a strike by running back over the corner of the plate even when he mis-releases it. His slider hasn't taken quite the same leap; too often it backs up on him and is hittable despite sitting 88-90 mph. It didn't miss bats consistently in 2024, but its ceiling is still pretty exciting because of how hard Chandler throws it. 
Though his delivery is a bit more effortful than most big league starters, and he has occasionally struggled with walks as a pro, Chandler's athleticism and multi-sport background make me want to continue projecting on his command deep into his 20s. There's still development happening here (for instance, Chandler made his first start on four days rest in the middle of 2024), but so far, Chandler's dev is going as well as could have been hoped when he was drafted, and he's tracking like a mid-rotation starter. He's entering his 40-man platform year and could debut late in the season so he can retain his rookie eligibility into 2026.","Vby0mWWdW8k","29868"
6,1,"Sebastian Walcott","TEX","SS","AA",2027,"60","High",,"19.5472222","6' 4""","190","R","R",2023,"Intl15","TEX",3200000,"Bahamas","Walcott has been such an obvious tool shed since he signed in 2023 that his various feats of strength initially carried his legend more than his in-game results. Slim and high-waisted with otherworldly bat speed, the 19-year-old Bahamian is still projectable while already producing what would be well-above-average major league exit velocities (106.8 mph 90th-percentile EV) throughout his pro career. But one day you wake up and he’s already managed to become a well above-average Texas League hitter, running a strikeout rate under 25% for the first time since coming stateside.
So many of the warts from previous write-ups are still present here. Walcott has more than enough juice to leave the park in any direction, but his power is still overwhelmingly pull-oriented because he tends to need to catch the ball out in front to lift it. He spins on his backfoot with such cyclonic force that a 46.7% pull rate is an all-time low for Walcott, and he still swings inside a host of soft stuff low and away, even though he’s actually dragged his chase rate down to the big league average. Other than a more conscious effort to cut down his two-strike operation, Walcott is steaming toward a career-high in homers against older competition without a significant swing alteration.
The precocious nature of Walcott’s offensive success and the dizzying tools that promise even more fuel a hazier defensive projection. At 6-foot-4, he was already a risk to simply grow out of shortstop and has accordingly struggled keeping his glove level with low bouncers. The Rangers have been sprinkling in third base work for Walcott, which both hasn't eased his battle to maintain a fielding percentage north of .900 and has made it clear that he has the hose to make highlight reel throws from anywhere on the diamond. With his athleticism, cannon arm, and offensive profile, that could feasibly still be true in right field if his glove can’t stick on the dirt. Since he’s already tracking as a Fernando Tatis Jr. analogue, why not take it all the way?","SrngMDmJrd4","sa3021069"
7,2,"Max Clark","DET","CF","AA",2027,"60","Med",,"20.7777777","6' 1""","205","L","L",2023,"Draft","DET",7700000,"Franklin HS (IN)","Clark was a well-known, top-of-his-class high schooler several years before he was draft eligible because of his consistent, superlative performance in travel ball tournaments. He entered pro ball as a dynamic, old school leadoff hitter prospect, and so far that's exactly what he looks like. Clark spent most of his first full pro season at Low-A Lakeland and was promoted to High-A West Michigan for the final month and a half of 2024. In 107 combined games, he slashed .279/.372/.421 and tallied 36 extra-base hits and 29 steals in 33 attempts. 
Clark's lightning-quick hitting hands are best at snatching pitches around the top of the strike zone. He slices and hooks lots of hard, low-lying contact from line to line, then uses his speed to take extra bases. His swing doesn't feature big lift, and Clark lacks overt, frame-based power projection, but the amount of contact he makes and its quality should enable him to hit for plenty of in-game power in pro ball — it will just likely manifest as 40 or 50 doubles rather than 30-plus home runs. 
Clark still has some developing to do in center field. He easily has the speed to play the position well, but he often looks uncomfortable at the catch point. None of Clark's underlying data is particularly nutty when compared to big league averages, but it's impressive across the board for an up-the-middle player his age. He's still tracking like a traditional leadoff-hitting center fielder with a well-rounded game.","yt4_ilKyXhE","sa3022683"
8,1,"Colt Emerson","SEA","SS","AAA",2027,"55","Med",1,"20.1972222","6' 1""","195","L","R",2023,"Draft","SEA",3800000,"John Glenn HS (OH)","Emerson had a loud introduction to pro ball in 2023, as he and the Mariners' other high school draftees from that year's class played well in Modesto. His 2024 was more muted, in part because Emerson missed significant time with a foot fracture during the regular season (and looked slower on defense when he returned), and then was shut down during his Arizona Fall League stint (he raked there while healthy) because of a strained hammy. He broke 2025 camp with High-A Everett and, same as he did there in 2024, Emerson is struggling to hit for meaningful power even though his home park is a hitter's haven. 
Before I get into why this seems to be the case, let's talk about what Emerson does well. His hitting hands are lovely and explosive, and work in an aesthetically pleasing loop. The mid-flight adjustments he makes to secondary stuff are fantastic, and the bat speed Emerson has through his wheelhouse is at least plus. Much of his underlying data performance has also been strong; he posted an 87% in-zone contact rate in 2024 and has a plus in-zone rate so far in 2025, and his peak measurable power (he's hit a ball 115 mph already this year, though it was on the ground) and bat speed (measured during 2025 big league spring training games) are approaching a 70 on the scale, especially for Emerson's age. 
So why then isn't Emerson hitting for power? As sexy as his hands are, his bat path is long and really only explosive when he's cutting through the bottom two thirds of the zone. Opposing pitchers can get him to swing underneath elevated fastballs, and can neuter his contact quality by locating pitches down and away from him. This has been evident to the eye for the last couple of seasons, but not really on paper. Emerson can't turn on fastballs at all right now; every airborne ball in play of his versus heaters is shot down the left field line. It takes him too long to get on plane with fastballs in a way that allows him to do damage, and he drives them into the ground most of the time. His average launch angle as of list publication is one degree, while his groundball rate is up over 50%. None of this means that Emerson is bad, it just means he's not a fully actualized threat as a power hitter right now. 
All that said, I think Emerson looks better overall compared to 2024 because of his defense. Last year, he looked like a better future fit at either second or third base, with the caveat that his return from a fractured foot and the tightness that lead to his hamstring strain might have been why. That seems to have been the case, as Emerson's range has been much better in 2025. He's shown an ability to round on balls hit to his right and make athletic throws across his body. His arm is only okay for a shortstop, but I'm more confident now that he'll be able to stay there than I was at the end of 2024. Emerson is still tracking like an eventual everyday shortstop, but the power actualization that would lead to stardom is going to require adjustments.","zQNwDnWkEek","sa3022923"
9,1,"JJ Wetherholt","STL","2B","AAA",2026,"55","Low",,"23.0583333","5' 11""","185","L","R",2024,"Draft","STL",6900000,"West Virginia","Watching an endless parade of Wetherholt swings feels like efficient workflow, but it’s also excising a healthy majority of the pitches he sees from the process. The young man is a connoisseur of not swinging. His head stays still and his hands stay back even when his hips are bailing out toward the pull side, allowing him to track spin beautifully. Wetherholt can really stay on soft stuff low and away from him, but he'll whiff on well-located fastballs up and in. The fastball vulnerability is pretty common for lefties in that location, but his ability to cover low and away is rare, and he deserves more credit for that unique ability than he does demerits for the flaw. This is a special hit tool, and making lots of good contact with very good swing decisions has been the bedrock of power overproduction for many prospects in the past. With that in mind, the top rung of Wetherholt’s exit velocities are presently below the big league average, and he’s a compact and tightly-wound 5-foot-10 athlete who does not offer much projection. He certainly can pull fastballs, but his game is geared more around spraying line drives all over the yard than seeking opportunities to turn it loose, although the feel for those moments can come with time. Wetherholt will certainly have the runway.
Normally, a player's offense gets written about before his defense simply because hitting is cooler and more fun, but the central debate of which side of second base Wetherholt ends up on seems destined to be adjudicated by his offensive maturity. He’s getting on base more often than not through June, and certainly doesn’t belong in Springfield anymore. But the Cardinals’ unsettled second base situation and presence in the playoff race will make the urge to bring him to St. Louis pretty strong through the end of 2025, let alone next spring. Wetherholt is less rangy and springy than the average major league shortstop, and sticking there would demand a lot of his transfers and play clock to be on point to make up the difference. Or he could simply be a solid average second baseman next to Masyn Winn for the foreseeable future and hit his way to impact. The latter route seems better for everyone.","ZpEjzBH0B1w","sa3025154"
10,1,"Leo De Vries","ATH","SS","AA",2027,"55","High",1,"18.9722222","6' 2""","200","S","R",2024,"Intl15","SDP",4200000,"Dominican Republic","De Vries was unanimously viewed as the best prospect in the 2024 international signing class, a potential do-everything, switch-hitting infielder with power from both sides of the plate. He signed for just over $4 million, which is about what you'd expect from a top-of-the-market player. Same as they have with their recent high-profile prospects, the Padres wasted no time in pushing De Vries' promotion pace. Most prospects who sign in a given year spend all of the rest of it in the D.R. getting their feet wet in pro ball. De Vries, however, was on the Peoria complex in Arizona just weeks after he signed, and after a little bit of extended spring training action, he was sent out to Low-A Lake Elsinore when he was roughly 17 1/2 years old. He slashed .237/.361/.441 at Elsinore, good for a 116 wRC+, before wrapping up his season in the Arizona Fall League, where he was the league's youngest player. He broke 2025 camp with High-A Fort Wayne and is having a very similar season in most all relevant statistical categories. 
On defense, De Vries' best attribute is his max-effort arm strength, which is comfortably plus. He also has mature poise and a well-calibrated internal clock; he's rarely rushed or out of control. He is otherwise only a fair defender, one who plays with a fairly high center of gravity, below-average range, and unpolished arm accuracy on throws that require touch rather than effort. 
De Vries has actualized power from both sides of the dish. His lefty swing has big loft that ensures a ton of his contact goes airborne, and De Vries has impressive strength in his hands for a high school-aged hitter. While the gear of his swing path definitely forces him to make some swing-and-miss concessions, to this point he has been able to post roughly average contact rates in his two pro seasons. And De Vries can bang from both sides of the plate. He hit exclusively left-handed for a stretch in late May of last year and then returned to switch-hitting, and most of his homers came from the right side. As a righty, De Vries is usually on time to pull, but he's definitely a less skilled and discerning hitter from over there. 
While precocious and talented to a meaningful degree, De Vries doesn't have the exceptional pure bat speed of a Jesús Made or the overt elite raw power projection of a Samuel Basallo or a Sebastian Walcott, and he remains a 50 FV player on this update. He's still a top 40 prospect across all of baseball, but is viewed here as more likely to be a steady regular at a key position than a monster. He's going to get to power and be a good offensive player for a middle infielder, enough to be a young build-around guy, but probably not a superstar unless I'm underrating how much strength De Vries is going to be able to add at his size. If you were to tell me that De Vries, who is already pretty physical, is going to keep getting bigger and stronger to the point that he's built like Ketel Marte, then this would be an underestimation of his raw power. Such size would almost certainly dictate a move off of shortstop, of course, but I'd trade that for 70-grade power.","QH-1G9NPhrw","sa3023363"
