Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
1,1,"Samuel Basallo","BAL","C","MLB",2027,"60","High",,"20.2472222","6' 3""","230","L","R",2021,"Intl15","BAL",1300000,"Dominican Republic","Basallo was the 2023 ""Pick to Click"" who ""clicked"" the loudest, as the then-18 year hit .313/.402/.551, had 53 extra-base hits in 114 games and smooched Double-A. After he got off to a slower start in 2024 (and also didn't catch until May), Basallo has been on a heater for the last six weeks and has a well above-average offensive line at Bowie as of list publication. Basallo is a power-hitting kaiju catching prospect who looks like a gear-wearing Rafael Devers. His swing looks a lot like Devers', and he too has plus-plus power projection, a penchant for expanding the zone, plus arm strength, and some profound defensive flaws. Lackadaisically listed at 180 pounds, Basallo actually carries around closer to 240 pounds like a high school defensive end. He has preposterous bat speed and rotational athleticism for a hitter his age and size, let alone for a potential catcher. His peak exit velos and hard-hit rate are already plus on the big league scale, and that data was generated by a teenager at High- and Double-A the last two years. He does tend to chase and over swing, which is why even though Basallo hasn't posted excessive strikeout rates in the minors yet (just north of 20% so far in 2024), his hit tool is projected south of average against big league pitching. If he gets to as much power as we think he will and also catches, that's not going to matter very much.
We got a little better idea of what Basallo could do behind the plate last year when he got a full season of reps. When you look at his 2024 positional splits as of this update, he has spent a pretty even amount of time at catcher, first base, and DH, but he's been catching more frequently as the season has dragged on and tends to go two or three days in a row behind the plate before a recovery day at 1B or DH. His arm strength is great and there were times last year when it looked incredible, but Basallo has been popping closer to 1.95 so far this year and his footwork is often pretty sloppy. As is true of a lot of catchers his age, he could stand to be more accurate and consistent coming out of his crouch. His receiving isn't good, but it isn't so terrible that it damns him to first base. His ball blocking might though, and it's this area of Basallo's game that most needs to improve. If this skill doesn't progress, or if his size quickly forces him to move out from behind the plate, then his issues with chase would suddenly become more of a problem, though we're probably still talking about a strong enough hit/power combo for Basallo to be an everyday first baseman. 
Basallo's chalk 40-man evaluation year is 2025. He's been promoted ahead of that pace so far, but it's pretty rare for catchers with his issues to be in the express lane to the big leagues. If the Orioles just want access to Basallo's bat and decide to fast track him as a DH, or proactively move him to first base knowing Adley Rutschman is in place as the franchise catcher for a while, then a late 2025 debut feels possible. If the Orioles want to give Basallo the best chance of having immediate success as a big league catcher, then he's more likely on a late 2026 or spring 2027 trajectory. There are few other prospects in the minors who have this kind of offensive ceiling and a chance to play a premium position.","A1JJN7Mhm2s","28824"
2,1,"Carson Williams","TBR","SS","MLB",2026,"60","High",,"21.3805555","6' 1""","180","R","R",2021,"Draft","TBR",2350000,"Torrey Pines HS","Williams was a two-way high school player who was talented enough to be considered a prospect as both a shortstop and a pitcher. The Rays gave him a $2.3 million bonus to keep him from heading to Cal and have developed him solely at short. So far that looks to have been the correct assessment, as Williams has averaged 21 homers, 51 extra-base hits, and 24 stolen bases in each of his two full seasons of pro ball. He's on a similar pace in 2024 except he's stealing even more bases and with a better success rate. In 2023, he slashed .254/.351/.506 at High-A Bowling Green, with a smattering of games at Double- and Triple-A as well. Then Williams had a no good, very bad Fall League stint in which he struggled mightily to parse breaking balls. He seemed totally gassed and very frustrated, the type of Fall League look you just kind of throw out. 
That's not to say that Williams is a lock to hit. He's struck out more than 30% of the time so far in pro ball and has severe breaking ball recognition issues that we optimistically wants to project on as he continues to develop solely as a position player. There’s a lot of looseness throughout Williams’ swing, and he has a steep, lofty path that makes him vulnerable to pitches in the upper quadrant. But he already has big all-fields power (his peak exit velos are a 55 or 60 on the big league scale and Williams is still a pretty skinny 21 year old) that he consistently carries over into game action. That and premium defensive ability are the two attributes that support Williams' entire profile, and they become even more exciting when you consider his relative inexperience. 
Williams is an unbelievable athlete and flashy shortstop defender. He makes a lot of plays that no other shortstops do, as if his beginner's mind is conceiving of new ways to play the position. Few shortstop prospects match either his reads off the bat or the caliber of body control he displays, and Williams' plus-plus throwing arm makes it so no play is off limits for him to complete. Scouts are mixed as to whether Williams is actually projectable. Some consider him a little too thin and frail looking to project on, but they are in the minority, and here we have WIlliams projected for impact power. Williams' overall profile is that of a plus-power, plus-plus defender whose hit tool will be hindered by his lofty strikeout numbers, but the power/defense combo he brings to the table makes him one of the most exciting shortstop prospects in the sport.",,"30038"
3,1,"Marcelo Mayer","BOS","SS","MLB",2026,"60","High",1,"21.9166666","6' 2""","210","L","R",2021,"Draft","BOS",6660000,"Eastlake HS (CA)","My offseason report on Mayer was filled with apprehension about his issues against secondary pitches (which for a couple of years he had performed in spite of) and the way he was trending athletically on defense. It also acknowledged that some of Marcelo's late 2023 dip could have been caused by the effects of a shoulder injury (which he tried playing through before it ultimately ended his season), and that a 21-year-old could pretty quickly remake his body and once again have the requisite athleticism to handle shortstop. Some of that has turned out to be true, and Mayer has raked at Double-A Portland during the first half of 2024, but I still think there are some underlying issues here. Clearly he's graded as a 50 FV player and therefore projects to be an everyday shortstop, but I think these warts will stifle his production below the superstar level readers might expected of him.
The way Mayer's swing works (his front side is very upright through contact, his hips tend to bail toward first base pretty early, and his bat path struggles to find pitches down and away from him) continues to leave him vulnerable against soft stuff. His issues haven't been as stark in 2024 as they were in 2023 when he had a sub-.500 OPS against secondary pitches, but there's still an enormous dip compared to the way he handles fastballs. Choirs of angels have blessed Mayer's hitting hands, which are deft and drive contact explosive enough to remain excited about his overall offensive future, just not to the level of a Bobby Witt Jr. or Corey Seager in terms of impact. If we suddenly see more bend in his lower body, the way Max Muncy altered his swing before his huge breakout in LA, then there will be reason to re-evaluate. 
Mayer has always been a bit boxier than the usual elite shortstop prospect, but his hands and actions are so skillful and polished that he seemed likely to play there despite middling range. Perhaps because his mobility was compromised from the general discomfort of his shoulder issue, Mayer's range backed up in 2023 and his arm accuracy was sometimes poor. He definitely looks trimmer in 2024 and the Red Sox appear to be positioning him closer to the hole so he can make more plays moving right to left. It isn't sexy, but it works. Mayer's footwork and actions are still very polished and the Red Sox have found a way to mask his mediocre range and arm strength (for shortstop). Things feel much more stable here than they did at the end of 2023. Hopefully Mayer will keep hitting Eastern League pitching and merit a promotion so we can watch him face and adjust to junkballing Triple-A veterans who might force him to make relevant adjustments. He's tracking like a late 2025 or early 2026 debut.","RGaqieu1wo4","29668"
4,1,"Dylan Crews","WSN","CF","MLB",2025,"60","Med",,"22.7111111","6' 0""","203","R","R",2023,"Draft","WSN",9000000,"LSU","Crews went wire-to-wire as one of the best 2023 draft prospects, if not <em>the</em> best. He was the top unsigned high schooler from the 2020 class, a toolshed who swung and missed on the summer showcase circuit more than teams felt comfortable with. He ended up at LSU rather than in pro ball and was immediately dominant as a freshman, generating exit velos in excess of 100 mph on 17 of his first 30 balls in play and finishing with a .362/.453/.663 line that included 18 bombs. He followed that up by slashing .349/.463/.691 with 22 homers as a sophomore before hitting .426/.567/.713 with 18 bombs and more walks than strikeouts as a junior.
Crews can punish you to all fields. He'll get extended on fastballs away from him and crush them the opposite way, and he can also turn on slower pitches on the middle two-thirds of the plate and hit some titanic blasts to left. At times, the depth of Crews' hand load will leave him late on fastballs, and he's struggled pretty badly with heaters around his hands so far in 2024; he was striking out a third of the time through the first month of the season. The bend and strength in his lower body is incredible, and he might be able to shorten up what he's doing with his hands and still get to huge power because of how special the rest of his operation is. 
Crews will show you jailbreak-y, sub-4.1 run times, easily the speed to play center field, and his reads and routes (though still not great on balls hit in front of him) improved during his time in college after it first looked like he might be ticketed for right field. He sprints into the gaps with huge effort and is great at getting balls hit over his head. He should be an average big league center fielder, and his speed gives him bigger ceiling than that if his feel for the position continues to level up. Crews also does all kinds of little things well, be it procedural awareness on defense or how crisply he runs the bases. He's tooled up and performed at the highest level of amateur baseball for three years before finally meeting some resistance this year. The issues with fastballs around his hands are a little bit of a concern, so let's see if Crews can remedy those now that he's being challenged for the first time in his baseball life. We think he can, and that he'll be an impact player and franchise cornerstone.","yuOejbqs8OA","33541"
5,1,"Jordan Lawlar","ARI","SS","MLB",2025,"60","Med",,"22.3194444","6' 1""","200","R","R",2021,"Draft","ARI",6710000,"Jesuit Prep HS","The highly touted Lawlar hit .263/.366/.474 in 89 games at Double-A Amarillo before he was quickly promoted up the rest of the ladder for a September call-up to Phoenix. The Diamondbacks only gave him about a week and a half of regular at-bats before he shifted into a pinch-running and defensive replacement role down the stretch and on Arizona's playoff roster. They perhaps should have given him more runway to adjust to big league pitching with the hope that Lawlar could quickly become a more threatening hitter than Evan Longoria and Emmanuel Rivera were in October, but the Snakes was fighting for their playoff lives and didn't have the luxury to roll the dice. Lawlar ruptured a ligament in his thumb during 2024 spring training and his initial recovery timeline was eight to 10 weeks, which would put him on pace to return in June.
Lawlar posted career-best strikeout rates at Double- and Triple-A in 2023, but he still has a pretty grooved swing and his underlying contact data on the season is near the very bottom of the everyday shortstop population (73% contact rate, 81% z-contact%), so we're sticking to a below-average hit tool projection here. But Lawlar does everything else very well. He's a stellar shortstop defender with premium range and defensive athleticism. His throwing stroke to first base can sometimes look a little odd, but he finds all kinds of crazy ways to contort his body and send the baseball where it needs to go, which is especially true of his feeds to second base. He has rare power for a shortstop (let alone a really good defensive one), plus plate discipline, and what is approaching elite baserunning speed. Not only did Lawlar show top-of-the-scale sprint speed in the big leagues (not our favorite way of assessing runners, but still), but his swing's natural jailbreak, à la Rickie Weeks Jr., puts his home-to-first times in the 4.10 second range pretty regularly. His hit tool isn't enough of an issue to threaten the rest of his profile — Dansby Swanson's contact rates in 2023 were nearly identical to Lawlar's combined stats, but he plays great defense and hits for power, and Lawlar should too. 
With Eugenio Suárez now entrenched at third base, it will be interesting to see how the Diamondbacks integrate both Lawlar and Geraldo Perdomo into their big league lineup assuming both are healthy at the same time later this year. Ketel Marte could be deployed as a DH more often, and Perdomo could move around (he has more experience doing so than Lawlar) as well as sit against lefties. Lawlar is a foundational player who should be a multi-time All Star and one of the faces of the franchise for the next five-plus years.","2OR5zWimpHc","29976"
6,2,"Xavier Isaac","TBR","1B","AA",2026,"60","High",,"20.9027777","6' 3""","240","L","L",2022,"Draft","TBR",2548900,"East Forsyth HS (NC)","The Evan Carter of the 2022 draft, Isaac's selection was borderline derided when it was first made. He didn't have a ton of showcase experience, and while clearly a skilled hitter in the scant showcase PAs he did put on tape, he was a heavy-bodied first base prospect who'd need to mash to profile. Several teams drafting through around pick 60 or so were on Isaac, so the Rays weren't alone in liking him, and so far the pick looks great, as Isaac hit .285/.395/.521 with 19 homers in a first full season spent mostly at Low-A Charleston. Recently selected to the Futures Game, he's currently on pace for a 20/20 season and has a 156 wRC+ at High-A Bowling Green as of this update.
Isaac has pretty dramatically remade his body and now looks more like Nate Lowe than coaching-era Sidney Lowe. He's slimmed down without losing strength. On the contrary, he has added some and has a hard-hit rate around 60% this year. Isaac has rare fluidity in his hips and rotational explosion for a hitter his size, and while he is going to swing and miss at an elevated rate, he also has ridiculous power all over the strike zone. If you put Isaac's balls in play on tape, he's adjusting to all kinds of different pitches in different locations and using his immense strength to move the baseball all over the field. 
Look under the statistical hood and things get more complicated. Isaac ran a sub-70% contact rate in 2023 and is right around that mark again in 2024; only one qualified big league first baseman (Bryce Harper) did that in 2023 and none are currently that low in 2024. A couple of other successful role players (Luke Raley, Ryan Noda) were also in that range, but it's rare for a first baseman to run a contact rate this low and be successful. While Isaac's athleticism makes what he's doing in the batter's box look smooth and graceful, he probably has more going on with his swing than a young man of his prodigious strength needs to. He doesn't always track pitches well and he swings inside a lot of stuff on the outer third, especially changeups, which Isaac offers at early in part because his cut is so involved. The good news is we think Isaac will have such enormous power at maturity (he also has plus plate discipline) that he'll offset his contact issues. We also think there's a chance his hit tool progresses beyond its current state because we're talking about a young hitter who hasn't played against elite competition very much. We can't overstate how much power there is here — it's such enormous, flaw-covering juice that we're in Matt Olson territory as far as overriding our concerns about how many K's there are. If you’re in a dynasty league or collect prospect’s cards, you need to get this guy now. Isaac is still obscure enough that the photo service we use for header art doesn't even have a picture of him in its database yet, but if he continues on this pace against Double-A pitching in the second half of the year, he is going to finish the season as a top five or 10 overall prospect.","LFb-YuEPAP0","sa3020498"
7,1,"Ethan Salas","SDP","C","AA",2026,"60","Med",,"18.4472222","6' 2""","185","L","R",2023,"Intl15","SDP",5600000,"Venezuela","Salas was generally viewed as the best prospect in the 2023 international amateur class, and weeks after signing in January for a whopping $5.6 million, he went to Arizona and began to reinforce that notion. Salas, still just 16, was performing well in Double-A or big league ""B games"" against players who often had five to 10 years on him. After a few weeks in extended spring training (a level above where most 17-year-olds play), the Padres assigned Salas to Low-A Lake Elsinore just before he turned 17. He aced a two-month test there (122 wRC+), and the Padres promoted him to High- and then Double-A for the last several weeks of the season. 
Salas has struggled since leaving Lake Elsinore and has a 72 wRC+ as an 18-year-old at High-A Fort Wayne at the 2024 All-Star break. It's incredibly hard to contextualize that performance because Salas is not only very, very young for the level, but he's also playing a very demanding and punishing position. Salas is still a precocious defensive catcher. His receiving is advanced for his age, and the ease and accuracy with which Salas throws to the bases is remarkable, but he's regressed in one key area this year: His ball-blocking has been an issue. Right now, he often looks afraid of the baseball and is constantly bracing for impact when the pitch is in the dirt. He flinches and loses sight of the ball, seemingly hoping it finds its way into his glove on its own, but instead a lot of balls in the dirt are skipping past him and he's been doing a lot of running to the backstop in the weeks leading to this update. 
I'm still bullish on Salas' future as a hitter. There are aspects of his swing that have given one or two of my scout sources pause, with his length to the outer half chief among them. He still does a pretty good job covering the top half of the zone and is a dangerous hitter up there for an 18-year-old. This isn't a guy with monster bat speed, but he has a well-rounded blend of patience, in-zone contact, and what is presently doubles power. Salas isn't built like Elly De La Cruz or anything, but he's still quite projectable. He is probably going to be much thicker than he is now at maturity and it will be interesting to see how that bulk impacts his mobility and explosion as a hitter, be it positive or negative. His bat path is such that he struggles to elevate stuff down and away from him, and he has to get into his lower body pretty good in order to scoop low pitches at all. That's something else to watch as he fills out. The possibility of some kind of meteoric rise where Salas debuts as a teenager is starting to fade, but his long-term forecast as a franchise catcher has not. His underlying data supports the notion that this is still a precocious offensive player who is simply dealing with the rigors of his position (he's caught more games this year than all of last season) and a very difficult assignment for a prospect his age.","lUu9qAz-0-w","sa3020881"
8,1,"Andrew Painter","PHI","SP","AAA",2025,"60","High",,"21.5888888","6' 7""","215","R","R",2021,"Draft","PHI",3900000,"Calvary Christian HS","Painter ended 2022 as one of the best two or three pitching prospects in baseball. He overpowered hitters with his fastball at the lowest levels, but by the end of the year, he was carving Double-A and looked like a fully-formed, four-pitch monster. He entered the spring of 2023 with a legitimate shot to break camp in the Phillies rotation, like a pitching version of Fernando Tatis Jr. a few years ago. Instead, Painter's elbow barked at him and he was shut down with a partial UCL tear after his first Grapefruit League outing. Painter and the Phillies opted for a plasma-rich platelet injection rather than an immediate Tommy John, which gave Painter a chance, with rest, to pitch at the end of a 2023 season in which the Phillies correctly anticipated that they'd be contenders. But Painter's elbow didn't heal completely from the PRP and rest, and he needed Tommy John toward the end of July; he isn't expected to pitch until 2025, per Dave Dombrowski. It's incredibly rare to value a prospect who will have missed two years this highly, but Painter has rare ceiling and the success rate of Tommy John surgeries is high enough to anticipate that he'll return to his old self. 
Healthy Painter has a prototypical pitcher's frame and then some, standing in at a broad-shouldered 6-foot-7 (which Painter has sculpted since his days as a high school prospect), a stature you'd more often associate with NBA wing players than pro pitchers. Doug Fister is a fair baseball body comp. Good luck getting on top of Painter's fastball when he locates it at the top of the zone. Even though he's so big and his pitches travel downhill toward the zone, it has still been hard for hitters to snatch his high fastballs, similar to the way Justin Verlander's fastball plays despite his size and release height. Painter will work six or more innings and never throw a fastball below 95 mph, sitting 96-98 for the bulk of the outing. 
Both of Painter's breaking balls have huge movement. His slider has two-plane sweep, while his curveball (more commonly used as an in-zone pitch and against lefties) is north/south and sometimes also has arm-side direction. If he can consistently create that arm-side finish on the curveball, it will give him a weapon against lefties. He had to whip out his changeup against upper-level hitters late in 2022, and some of those were quite good. Hitters seem to take more comfortable swings against his breaking stuff later in outings, so perhaps there's something about Painter's fastball angle that makes it easier for guys to see his breaking balls pop out of the hand once they've had a look at them. In a vacuum, though, he has a shot to have four plus pitches and an inning-eater's frame. If he looks like his late-2022 self upon his return from TJ, then Painter will rocket toward the top couple of spots on our universal prospect list.","sGWkF1MWSl4","sa3017880"
9,2,"Coby Mayo","BAL","RF","MLB",2025,"55","High",,"22.9222222","6' 5""","230","R","R",2020,"Draft","BAL",1750000,"Stoneman Douglas HS (FL)","As of list publication, Mayo has posted the most impressive 2024 batted ball data of any Norfolk prospect, most significantly his .537 xSLG and .377 xwOBA. He's a 22-year-old on a 30-homer pace at Triple-A and is poised to either threaten the playing time of Baltimore's incumbent corner infielders or be the centerpiece of a monster trade within the next year. Mayo's swing is weird and he's a flawed defender who still hasn't begun playing the position we think he might best be suited for, but he now has a five-year track record of mashing and is one of the higher-probability corner position prospects in the minors. 
Mayo executes a pull-and-lift approach geared for crushing mistakes in the upper two thirds of the strike zone, and he has succeeded with this approach all the way up the minor league ladder despite his sometimes ugly looking cut, which has a strange, choppy stride. If most hitters' strides back toward the pitcher are ""outies,"" Mayo's is an ""inny"" — his front foot often lands closer to his rear foot than where it began in his batting stance. All of his swing's components fire in a short period of time, and it's an odd look, but it works for him. He does, however, swing inside a lot of sliders, even ones that don't completely turn the corner. Mayo's strikeouts will likely climb against big league pitchers who can exploit this, at least initially, but he's going to get to such big power that it probably won't matter. 
There is still a lot of work to be done on defense here, as Mayo's size makes it hard for him to move around at third base. Unless he improves at first base (where his playing time was increasing prior to a mid-May fractured rib) or in right field (where Mayo has been speculatively projected here at FanGraphs for a while because of his impressive max-effort arm strength) pretty quickly, he's more likely going to debut because of injury or trade than Baltimore's needs. He projects to be one of the 10 to 15 most productive first baseman or corner outfielders in the game.","VSpXK_tYQAQ","28312"
10,1,"Chase DeLauter","CLE","RF","MLB",2024,"55","Med",,"23.0944444","6' 4""","235","L","L",2022,"Draft","CLE",3750000,"James Madison","DeLauter was a fascinating draft case and is still a bit of a mystery prospect in some ways, as he's lost a lot of time due to the pandemic and injuries, and scouts are divided on his unique swing. He barely played as a freshman due to the pandemic, and a broken foot ended his uneven 2022 junior year early. DeLauter crushed the Cape prior to his draft year and was shy of 21 years old on draft day, so it seemed likely that model-driven teams were going to be all over him despite his weird looking swing (which at the start of 2022 was totally out of whack); it's unsurprising that Cleveland landed him in the first round. DeLauter didn't play pro ball after the draft and his 2023 got off to a delayed start because he had to have another surgery on his foot. He disemboweled High-A pitching once he returned (.366/.403/.549) and then looked great in the Arizona Fall League, where six weeks of watching DeLauter hit made it easier to believe in his swing. 
DeLauter's truncated finish through contact and the way his lower body interacts with his swing are both pretty weird to watch. He is adept at altering the posture of his body to manipulate the barrel around the zone rather than just do it with his hands. There's some risk he won't be able to do this as readily against major league velocity, which he really hasn't seen consistently yet. But even in instances where his swing isn't well connected, he's strong enough to hit the ball hard somewhere. While he's best at golfing low pitches, DeLauter is also capable of taking ones on the outer third deep to the opposite field. His background contact rates (88% z-contact%) and lack of chase both reinforce the hitterish scouting look. It's tough to call a hitter who has only played about 60 games a year for the last four years ""stable,"" but from a skills and tools standpoint, DeLauter feels that way. He's tracking like a middle-of-the-order mainstay. DeLauter's chalk 40-man clock puts him on pace for a September 2025 call-up, but he's performing so well during the spring of 2024 that he may kick down the door and debut this season.","m0sabnQwbiU","32127"
