Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Drew Maggi","PIT","AA",34,36,127,141,23,18,5,0,0,13,10,9,0,27,4,0,1,1,4,0,0.181102362,"11381"
"Jorge Bonifacio","KCR","AA",30,118,435,508,116,70,20,4,22,71,88,61,1,101,3,9,0,7,6,0,0.266666666,"12174"
"Jose Briceno","KCR","AA",30,15,65,67,16,13,3,0,0,3,7,2,0,16,0,0,0,1,0,0,0.246153846,"13151"
"Jack Reinheimer","KCR","AA",30,26,76,82,10,7,3,0,0,10,3,4,0,29,1,0,1,0,4,0,0.131578947,"14938"
"Domingo Leyba","PIT","AA",27,30,102,114,35,26,6,0,3,12,20,12,0,12,0,0,0,2,1,0,0.343137254,"16404"
"Chris Shaw","CHW","AA",29,55,188,225,37,18,7,0,12,33,28,35,0,83,2,0,0,3,1,0,0.19680851,"17738"
"Lucius Fox","WSN","AA",25,22,61,71,10,8,1,0,1,6,4,7,0,21,0,1,2,1,0,0,0.163934426,"18899"
"Yusniel Diaz","LAD","AA",26,94,345,406,96,58,21,1,16,54,60,56,0,78,0,5,0,7,7,4,0.278260869,"18905"
"Donovan Walton","SFG","AA",29,18,61,76,19,14,3,0,2,11,9,10,1,9,2,2,1,1,2,0,0.311475409,"19314"
"Daniel Johnson","SDP","AA",27,98,361,412,95,62,17,3,13,58,54,40,1,77,4,7,0,1,21,6,0.263157894,"19643"
"Carlos Narvaez","NYY","AA",24,16,51,60,12,5,5,0,2,7,5,7,0,17,2,0,0,1,1,2,0.235294117,"19722"
"Greg Deichmann","OAK","AA",28,53,195,225,45,26,5,4,10,34,31,28,0,66,1,1,0,1,7,1,0.23076923,"19872"
"Aaron Whitefield","LAA","AA",26,37,105,118,20,12,5,0,3,15,13,12,0,47,1,0,0,4,12,2,0.19047619,"19938"
"Blake Rutherford","WSN","AA",26,32,129,141,44,24,12,1,7,23,28,9,0,25,2,1,0,2,2,1,0.341085271,"19957"
"Ryan Aguilar","LAA","AA",28,22,65,80,11,9,1,0,1,8,9,11,0,31,3,1,0,0,2,1,0.169230769,"19967"
"Jorge Ona","SDP","AA",26,35,110,123,24,11,10,0,3,13,12,9,0,41,4,0,0,3,2,0,0.218181818,"20040"
"Mario Feliciano","DET","AA",24,39,140,154,31,24,7,0,0,12,12,9,0,21,3,2,0,6,0,0,0.221428571,"20263"
"Irving Lopez","STL","AA",28,78,234,277,58,39,11,1,7,29,43,29,0,54,7,3,4,8,0,0,0.247863247,"20463"
"Seth Beer","ARI","AA",26,83,307,359,89,56,20,0,13,58,54,34,3,81,16,2,0,6,0,0,0.28990228,"20493"
"Jose Devers","MIA","AA",23,96,373,420,103,69,21,6,7,61,46,36,0,62,8,1,2,3,5,2,0.27613941,"20540"
"Leo Rivas","SEA","AA",25,106,329,436,84,66,11,2,5,71,47,86,0,89,7,9,5,3,50,10,0.255319148,"21009"
"Tyler Payne","LAA","AA",30,44,144,157,45,30,11,0,4,18,26,11,0,32,2,0,0,4,0,0,0.3125,"21139"
"Hayden Senger","NYM","AA",26,81,261,309,49,32,11,1,5,30,26,36,0,95,10,2,0,7,3,3,0.187739463,"21489"
"Brandon Lockridge","NYY","AA",26,33,96,114,30,18,7,3,2,14,16,14,0,22,1,3,0,1,17,2,0.3125,"21496"
"Griffin Conine","MIA","AA",25,87,292,353,74,41,14,1,18,52,62,47,1,120,9,3,0,3,1,1,0.253424657,"21626"
"Luis De Los Santos","TOR","AA",25,21,78,85,20,12,7,0,1,9,11,7,0,26,0,0,0,3,3,2,0.256410256,"21682"
"Miguel Amaya","CHC","AA",24,13,44,56,12,3,5,0,4,9,8,8,0,17,3,1,0,0,1,0,0.272727272,"21693"
"Sebastian Rivero","CHW","AA",24,15,48,54,8,7,1,0,0,8,2,5,0,9,1,0,0,0,0,0,0.166666666,"21735"
"Dane Myers","MIA","AA",27,49,182,215,53,38,6,2,7,34,25,27,0,37,5,1,0,2,14,1,0.291208791,"22054"
"Jeremiah Jackson","LAA","AA",23,119,440,500,111,69,19,1,22,61,80,48,0,144,5,7,0,9,27,9,0.252272727,"22239"
"Joe Perez","PIT","AA",23,25,85,107,29,19,3,0,7,18,18,20,0,24,2,0,0,1,2,1,0.34117647,"22254"
"Livan Soto","LAA","AA",23,31,107,127,22,17,4,0,1,18,5,19,0,34,1,0,0,2,1,1,0.205607476,"22471"
"Johnathan Rodriguez","CLE","AA",23,88,322,363,93,59,14,2,18,42,55,34,2,97,5,2,0,7,3,2,0.288819875,"22530"
"Lawrence Butler","OAK","AA",22,67,284,318,81,52,17,2,10,53,47,30,2,60,1,3,0,9,13,2,0.285211267,"22542"
"Tirso Ornelas","SDP","AA",23,72,264,312,75,47,17,0,11,38,51,44,0,59,0,4,0,5,4,4,0.284090909,"22566"
"Steward Berroa","TOR","AA",24,103,324,396,88,58,21,2,7,64,35,57,0,106,2,4,9,2,43,10,0.271604938,"22766"
"Wenceel Perez","DET","AA",23,76,299,343,81,64,9,2,6,56,28,35,0,52,5,4,0,7,19,2,0.27090301,"22857"
"Israel Pineda","WSN","AA",23,28,98,107,15,11,3,0,1,6,9,7,0,34,1,1,0,1,0,0,0.153061224,"22906"
"David Banuelos","MIN","AA",26,48,152,178,41,23,7,1,10,24,30,21,0,68,3,0,2,4,1,0,0.269736842,"23250"
"Eric Wagaman","NYY","AA",25,35,122,136,39,27,7,0,5,20,16,12,0,27,1,1,0,5,13,3,0.319672131,"23395"
"Luis Vazquez","CHC","AA",23,58,232,258,66,42,13,0,11,38,40,16,1,65,5,3,2,4,4,7,0.284482758,"23442"
"Chandler Seagle","SDP","AA",27,52,170,187,34,25,7,1,1,15,15,10,0,55,4,2,1,6,3,2,0.2,"23552"
"Jose Tena","CLE","AA",22,81,308,362,80,55,20,1,4,44,37,41,0,104,6,5,2,6,16,7,0.259740259,"23691"
"Everson Pereira","NYY","AA",22,46,165,185,48,27,10,1,10,24,31,19,0,54,0,1,0,2,7,2,0.29090909,"23695"
"Leo Jimenez","TOR","AA",22,76,289,333,83,58,15,2,8,54,44,32,0,53,9,3,0,4,8,2,0.287197231,"23782"
"Will Banfield","MIA","AA",23,115,458,495,118,68,25,2,23,70,76,25,0,122,6,5,1,13,3,0,0.257641921,"23790"
"Anthony Seigler","NYY","AA",24,67,205,264,34,24,5,0,5,33,27,53,3,48,1,5,0,0,7,5,0.165853658,"23802"
"Jorbit Vivas","LAD","AA",22,109,404,491,113,76,23,2,12,82,54,54,0,52,24,6,0,10,21,4,0.27970297,"23917"
"Ceddanne Rafaela","BOS","AA",22,60,245,266,72,48,18,0,6,40,37,14,1,55,2,4,1,2,30,8,0.293877551,"24262"
"Liover Peguero","PIT","AA",22,69,285,318,74,42,20,1,11,50,34,32,0,58,0,1,0,8,19,3,0.259649122,"24273"
"Johan Rojas","PHI","AA",22,76,320,354,98,64,20,5,9,56,45,24,0,59,5,3,2,9,30,8,0.30625,"24336"
"Jose Rodriguez","CHW","AA",22,87,382,404,101,66,17,0,18,63,54,18,0,95,1,3,0,8,28,6,0.264397905,"24388"
"Tyler Cropley","KCR","AA",27,43,145,168,34,24,6,0,4,17,17,19,0,39,2,1,1,1,0,1,0.234482758,"24485"
"Max Schuemann","OAK","AA",26,13,52,65,14,9,2,2,1,9,8,11,0,19,1,1,0,0,3,0,0.269230769,"24488"
"DaShawn Keirsey Jr.","MIN","AA",26,91,361,397,110,75,17,5,13,59,48,31,0,93,3,2,0,4,31,5,0.304709141,"24496"
"Mickey Gasper","NYY","AA",27,52,156,188,42,30,6,0,6,30,24,26,0,27,5,1,0,3,8,1,0.269230769,"24759"
"Bryan Lavastida","CLE","AA",24,56,203,247,50,37,9,0,4,31,33,34,0,38,6,2,0,5,9,4,0.246305418,"24765"
"Andy Pages","LAD","AA",22,33,109,142,31,15,12,1,3,23,25,25,2,32,5,3,0,1,7,3,0.284403669,"24816"
"Heriberto Hernandez","TBR","AA",23,118,389,478,97,63,18,3,13,64,60,76,0,134,5,4,4,7,7,2,0.249357326,"24878"
"Justin Dean","ATL","AA",26,55,193,236,44,35,3,1,5,40,14,39,0,72,3,0,1,1,22,5,0.227979274,"25005"
"Levi Jordan","CHC","AA",27,45,170,210,40,31,9,0,0,32,18,31,0,39,7,2,0,6,12,1,0.235294117,"25138"
"Ronny Simon","TBR","AA",23,96,363,416,87,56,17,4,10,63,44,43,0,90,4,5,1,5,26,10,0.239669421,"25346"
"Austin Shenton","TBR","AA",25,73,254,306,78,42,21,0,15,45,49,46,2,79,3,3,0,2,0,0,0.307086614,"25425"
"Will Wilson","SFG","AA",24,35,144,156,31,22,3,1,5,18,19,10,0,29,2,0,0,2,2,1,0.215277777,"25434"
"Greg Jones","TBR","AA",25,20,81,92,14,7,2,2,3,11,9,9,0,36,1,0,1,1,12,0,0.172839506,"25448"
"Will Robertson","TOR","AA",25,103,363,412,89,42,25,3,19,60,57,40,0,109,4,5,0,6,9,3,0.245179063,"25467"
"Logan Driscoll","TBR","AA",25,84,316,353,83,57,14,2,10,52,43,22,0,90,11,4,0,2,4,1,0.262658227,"25475"
"Isaac Collins","MIL","AA",25,93,290,376,78,53,13,2,10,67,44,75,0,55,6,4,1,4,29,9,0.268965517,"25477"
"Marco Luciano","SFG","AA",21,56,202,242,46,23,12,0,11,32,32,36,0,72,0,4,0,3,6,0,0.227722772,"25616"
"Bryan Ramos","CHW","AA",21,77,291,342,79,54,10,1,14,46,48,38,0,75,8,2,0,2,4,3,0.271477663,"25621"
"Drew Millas","WSN","AA",25,25,82,99,28,20,4,0,4,14,19,16,0,16,1,0,0,1,2,1,0.341463414,"25643"
"Dustin Harris","TEX","AA",23,60,229,278,56,33,14,4,5,42,29,44,2,65,4,1,0,1,24,2,0.244541484,"25705"
"Tyler Tolbert","KCR","AA",25,126,518,574,143,99,24,10,10,95,50,40,0,127,8,3,5,9,50,8,0.276061776,"25779"
"Pedro Pages","STL","AA",24,117,424,497,113,72,23,2,16,63,72,59,2,96,8,6,0,18,3,0,0.266509433,"25782"
"C.J. Stubbs","HOU","AA",26,95,316,370,62,32,16,0,14,60,33,42,0,132,12,0,0,3,15,5,0.196202531,"25814"
"Logan Davidson","OAK","AA",25,48,182,206,54,35,11,1,7,26,28,22,0,56,2,0,0,3,2,2,0.296703296,"25844"
"Matt Gorski","PIT","AA",25,93,357,396,85,50,16,2,17,56,54,27,0,101,5,6,1,7,19,4,0.238095238,"25855"
