Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Dustin Peterson","PIT","AA",29,45,159,180,35,24,6,0,5,18,23,17,0,51,2,2,0,3,2,2,0.220125786,"15189"
"Matt Beaty","ARI","AA",31,45,158,179,47,37,5,0,5,21,20,14,0,18,7,0,0,4,0,0,0.297468354,"17710"
"Josh Lester","KCR","AA",29,112,403,454,106,65,21,2,18,57,70,40,0,90,3,7,0,5,2,0,0.263027295,"17737"
"David Fletcher","ATL","AA",30,54,142,156,31,28,2,1,0,15,7,11,0,23,1,2,0,0,10,1,0.218309859,"17992"
"Brendon Davis","LAD","AA",26,115,388,468,87,56,21,1,9,74,43,62,1,109,13,5,0,8,24,0,0.224226804,"18587"
"Alex De Goti","TEX","AA",29,45,128,150,25,20,4,1,0,16,3,17,0,33,4,0,1,5,8,4,0.1953125,"19477"
"Zach Reks","SDP","AA",30,64,197,242,25,15,7,0,3,18,19,38,1,71,4,2,1,6,1,2,0.126903553,"19667"
"Caleb Hamilton","LAA","AA",29,39,113,134,14,10,0,0,4,11,11,17,0,47,2,1,1,3,3,0,0.123893805,"19842"
"Jared Oliva","SEA","AA",28,69,214,248,63,45,7,4,7,45,40,24,0,45,6,2,2,7,37,3,0.294392523,"19968"
"J.C. Escarra","NYY","AA",29,72,257,292,60,35,18,3,4,41,30,28,0,38,6,1,0,9,1,2,0.233463035,"20084"
"Seth Beer","PIT","AA",27,55,199,228,56,43,7,2,4,19,21,18,0,48,9,1,0,6,1,0,0.281407035,"20493"
"Dermis Garcia","WSN","AA",26,108,373,424,68,41,12,1,14,39,38,44,1,127,4,2,0,8,2,1,0.18230563,"20926"
"Tyler Payne","LAA","AA",31,73,270,290,63,48,11,0,4,27,26,14,0,53,4,1,1,14,3,0,0.233333333,"21139"
"Sebastian Rivero","ATL","AA",25,46,148,162,25,16,8,0,1,7,19,7,0,38,3,1,3,4,0,0,0.168918918,"21735"
"Jeremiah Jackson","NYM","AA",24,121,453,482,93,55,19,0,19,49,61,23,0,123,2,4,0,17,11,2,0.205298013,"22239"
"Joe Perez","PIT","AA",24,62,230,259,53,34,11,2,6,20,38,22,0,78,2,5,0,6,2,0,0.230434782,"22254"
"Bubba Thompson","CIN","AA",26,57,211,221,49,40,7,1,1,23,14,8,0,63,1,0,1,2,13,4,0.232227488,"22261"
"Gustavo Campero","LAA","AA",26,93,312,373,87,52,17,4,14,56,45,39,1,60,20,0,2,3,29,7,0.278846153,"22707"
"Israel Pineda","WSN","AA",24,75,246,262,40,35,4,0,1,13,19,14,0,68,0,2,0,8,2,0,0.162601626,"22906"
"Canaan Smith-Njigba","CHW","AA",25,16,55,62,10,7,2,0,1,3,6,5,0,15,1,1,0,3,1,0,0.181818181,"23264"
"Eric Wagaman","LAA","AA",26,94,346,388,90,51,23,2,14,56,46,38,0,69,2,2,0,15,9,3,0.260115606,"23395"
"Jordan Groshans","NYY","AA",24,84,283,320,67,51,12,1,3,38,27,32,0,56,1,4,0,5,0,2,0.236749116,"23794"
"Anthony Seigler","NYY","AA",25,118,364,433,85,49,24,0,12,61,49,64,0,77,2,2,1,11,29,3,0.233516483,"23802"
"Jose Rodriguez","PHI","AA",23,38,147,164,39,25,9,1,4,30,18,13,0,21,2,2,0,3,12,2,0.265306122,"24388"
"Cody Wilson","WSN","AA",27,88,237,273,45,31,12,0,2,30,19,25,0,101,7,2,2,2,13,1,0.189873417,"24671"
"Mickey Gasper","BOS","AA",28,44,142,176,40,23,13,0,4,28,22,26,0,22,5,3,0,4,3,0,0.28169014,"24759"
"Heriberto Hernandez","TBR","AA",24,60,209,245,56,24,17,1,14,40,40,29,2,68,3,4,0,6,3,1,0.267942583,"24878"
"Justin Dean","ATL","AA",27,92,315,362,77,61,11,2,3,44,31,39,0,92,4,4,0,4,47,7,0.244444444,"25005"
"Will Wilson","SFG","AA",25,84,317,360,71,52,14,0,5,36,40,34,1,70,1,3,5,6,6,3,0.223974763,"25434"
"TJ Hopkins","DET","AA",27,22,79,95,15,8,5,0,2,10,4,16,0,24,0,0,0,3,2,1,0.189873417,"25482"
"Bryan Ramos","CHW","AA",22,24,88,98,16,9,5,0,2,9,11,7,0,28,3,0,0,2,2,0,0.181818181,"25621"
"Cody Freeman","TEX","AA",23,123,470,518,124,75,33,2,14,68,63,37,1,94,5,6,0,16,15,1,0.263829787,"25629"
"Grant McCray","SFG","AA",23,50,181,208,38,15,14,3,6,27,24,24,0,67,3,0,0,0,6,0,0.209944751,"25690"
"Tyler Tolbert","KCR","AA",26,101,393,462,102,75,21,2,4,58,38,38,0,103,10,2,19,8,40,4,0.259541984,"25779"
"C.J. Stubbs","WSN","AA",27,70,229,269,43,25,10,0,8,30,21,27,0,97,11,1,1,2,4,0,0.187772925,"25814"
"Kevin Alcantara","CHC","AA",21,76,291,325,79,57,13,0,9,38,39,30,0,80,2,2,0,5,7,3,0.271477663,"25971"
"Matthew Lugo","BOS","AA",23,43,146,171,46,21,10,4,11,27,35,20,1,36,2,0,0,1,9,1,0.315068493,"25980"
"Kenedy Corona","HOU","AA",24,78,279,325,61,45,12,2,2,34,23,34,2,77,11,1,0,4,24,5,0.218637992,"26244"
"Kyren Paris","LAA","AA",22,23,77,92,7,5,1,1,0,8,7,9,0,36,2,3,0,2,8,1,0.09090909,"26420"
"Warming Bernabel","COL","AA",22,120,479,506,126,99,17,1,9,51,64,18,0,72,6,3,0,12,12,4,0.263048016,"26536"
"Agustin Ramirez","NYY","AA",22,58,228,261,66,35,14,1,16,46,49,28,1,43,3,2,0,4,13,1,0.289473684,"26546"
"Robert Hassell III","WSN","AA",22,60,229,264,62,50,6,1,5,33,21,29,1,55,3,2,1,3,12,4,0.270742358,"27482"
"Tyler Callihan","CIN","AA",24,69,247,282,67,49,9,1,8,27,25,27,0,78,2,2,4,1,21,5,0.27125506,"27497"
"Nick Yorke","BOS","AA",22,45,175,197,44,32,8,0,4,21,27,18,0,36,2,2,0,3,8,2,0.251428571,"27504"
"Duke Ellis","NYM","AA",26,41,126,148,33,29,3,0,1,24,12,13,0,32,4,2,3,1,34,2,0.261904761,"27543"
"Gage Workman","DET","AA",24,126,483,556,135,82,29,6,18,85,89,65,2,153,3,3,0,4,30,13,0.279503105,"27573"
"Christian Koss","SFG","AA",26,25,83,96,32,17,12,1,2,16,21,10,0,12,1,1,1,1,6,1,0.385542168,"27653"
"Eric Yang","CIN","AA",26,19,48,61,7,5,2,0,0,4,2,11,0,15,2,0,0,4,0,0,0.145833333,"27698"
"Zac Veen","COL","AA",22,36,127,145,34,22,5,2,5,24,14,16,0,38,2,0,0,1,10,1,0.267716535,"27770"
"Alejandro Osuna","TEX","AA",21,57,235,265,72,42,18,3,9,46,32,22,1,57,6,1,1,2,7,3,0.306382978,"27915"
"Petey Halpin","CLE","AA",22,90,356,405,83,52,15,4,12,54,45,43,0,95,1,4,1,0,12,7,0.233146067,"27931"
"Adael Amador","COL","AA",21,100,383,455,88,61,12,1,14,61,52,62,0,88,5,2,1,4,35,11,0.229765013,"27962"
